Line Item,Part,Type,Index Main,Index Name,Schedule C Name,Parent item,Sub-item
Part I - Income-1. Gross receipts or sales,Part 1,Income,4100 (4100%201dcf84a044028067b09aff7896376f67.csv),4100-Revenue-Service,SchC4100-Revenue-Service,,
Part I - Income-2. Returns and allowances,Part 1,Returns,4300 (4300%201dcf84a0440280c8ac01e9badb748857.csv),4300-Revenue-Returns,SchC4300-Revenue-Returns,,
Part I - Income-3. Subtract line 2 from line 1 (Net receipts),Part 1,Calculated,,,SchC,,
Part I - Income-4. Cost of goods sold (from Part III),Part 1,COGS,5200 (5200%201dcf84a0440280f9878bfc55b1b94403.csv),5200-Costs-Goods Sold,SchC5200-Costs-Goods Sold,,
Part I - Income-5. Gross profit (subtract line 4 from line 3),Part 1,Calculated,,,SchC,,
Part I - Income-6. Other income (including interest and capital gains),Part 1,Other Income,4600 (4600%201dcf84a044028019a24edcc54dc143a7.csv),4600-Income-Other,SchC4600-Income-Other,,
Part I - Income-7. Gross income (add lines 5 and 6),Part 1,Calculated,,,SchC,,
Part II - Expenses,Part 2,Expense,,,SchC,,
Part II - Expenses-08. Advertising,Part 2,Expense,,,SchC,,
Part II - Expenses-09. Car and truck expenses,Part 2,Expense,,,SchC,,
Part II - Expenses-10. Commissions and fees,Part 2,Expense,,,SchC,,
Part II - Expenses-11. Contract labor (if subcontractors were hired),Part 2,Expense,,,SchC,,
Part II - Expenses-12. Depletion,Part 2,Expense,,,SchC,,
Part II - Expenses-13. Depreciation and section 179 expense deduction (not included in Part III),Part 2,Expense,,,SchC,,
Part II - Expenses-14. Employee benefit programs (other than on line 19),Part 2,Expense,,,SchC,,
Part II - Expenses-15. Insurance (other than health),Part 2,Expense,,,SchC,,
"Part II - Expenses-16a. Interest on mortgage (paid to banks,etc.)",Part 2,Expense,,,,
Part II - Expenses-16b. Other interest,Part 2,Expense,,,SchC,,
Part II - Expenses-17. Legal and professional services,Part 2,Expense,,,SchC,,
Part II - Expenses-18. Office expense (including supplies),Part 2,Expense,,,SchC,,
Part II - Expenses-19. Pension and profit-sharing plans,Part 2,Expense,,,SchC,,
