CHARGE NAME,FELONY,MISD,CITATION,Condition," Condition Met?"," 2"," 3",BGCK Conditions,Review Status
If name returned on SSN trace does not match the name submitted or no address history is returned for the subject submitted and the individual is over 21 years old.,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,E Verify complete-Meets requirements,No,,,,Not started
"Weapons (transport uncased firearm,failure to register firearm,possess/use fireworks/explosives)",,,,"Less than 1 in the last 3 years,2 in less than 7",No,
Unlawful Transaction with a Minor,,,,"Less than 1 in the last 3 years,2 in less than 7",No,,,
"Trespassing (criminal trespass,unauthorized entry,prowling,government property,unspecified)",,,,"Less than 1 in the last 3 years,2 in less than 7"
,,,,MEETS REQUIREMENTS,No,NEEDS FURTHER REVIEW,DELAYED DECISION,,Not started
"Disorderly Conduct (with or without violence including fighting,weapons,unspecified)",,,,without violence,No,,
No Record Found,,,,X,No,,,,Not started
Negative results,,,,X,No,,,,Not started
Do not report any sex offender registry records for CA and NV,,,,X,No,,,,Not started
Marijuana (possess/use marijuana under 1 oz),,,,X,No,,,,Not started
Truancy (curfew violations),,,,X,No,,,,Not started
"Trespassing (remain on posted property without permission,in park after hours,unlawful entry)",,,,X,No,,
Weapons (possession of fireworks),,,,X,No,,,,Not started
"Licensing (bicycle license required,fail to possess valid license )",,,,X,No,,,
Public Indecency/Indecent Exposure,,,,X,No,,,,Not started
"Prostitution (soliciting,solicitation,pandering)",,,,X,No,,
"Property Damage (vandalism,graffiti,criminal/malicious mischief,littering)",,,,X,No,
"Public Disturbance  (loitering,disturbing the peace,noise,rioting/demonstrating,causing a panic,public urination)",,,,X
"Traffic (license suspended/revoked,operating unsafe vehicle,excessive speed,expired/improper tabs/registration/insurance,non-DUI offenses)",,,,X,No
"Animals (Dog at large,fail to show proof of vaccination,unregistered pet)",,,,X,No,,
Fake/False/Altered Identification,,,,X,No,,,,Not started
"Failures/Contempt (failure to appear,fail to pay,violation of posted order)",,,,X,No,,
Disorderly Conduct,,,,X,No,,,,Not started
Interference/Evade/Obstruction,,,,X,No,,,,Not started
"Alcohol (open alcohol container while driving,blood alcohol level .05% or more under 21,public intoxication,alcohol in park)",,,,X,No,
"Drugs - excluding marijuana (minor in possession of tobacco,paraphernalia)",,,,X,No,,,
Paid Out - Not a conviction,,,,X,No,,,,Not started
Prayer for Judgment (NC),,,,X,No,,,,Not started
"Adjournment in Contemplation of Dismissal (ACD) - offered with the expectation that the case will be dismissed once the probation period is over,provided the defendant commits no further offenses of any kind. ",,,,X,No,,,
"Accelerated Rehabilitation Disposition Program (ARD) - (PA) Postponing a judgment based on the defendant completing court assignments for rehabilitation.  First offender program; If program fees & fines are completed,case/charge MAY be dismissed.",,,,X,No,,,
Truancy (aiding truancy),,,,X,No,,,,Not started
"Taxes (Failure to pay taxes,tax evasion)",,,,X,No,,,
"Public Disturbance  (loitering,disturbing the peace,noise,public urination)",,,,X,No,
Trespassing (in park after hours),,,,X,No,,,,Not started
"Property Damage (littering,graffiti)",,,,X,No,,,
Licensing - excluding traffic and weapons (fail to maintain license/registration),,,,X,No,,,,Not started
Failure to Pay Child Support,,,,X,No,,,,Not started
Contempt of Court,,,,X,No,,,,Not started
"Animals (dog at large,vicious animal,unlawful hunting,unregistered pet)",,,,X,No,
Stricken with Leave  - The judge removes the case from the docket while reserving the right to recall or reinstate the case at a later date.,,,,X,No,,,,Not started
"Prayer for Judgment  (NC) ",,,,X,No,,,,Not started
Stet Docket,,,,X,No,,,,Not started
"Continued without Finding - The continuance of an active case to a specified subsequent date without a finding of guilt,dependent on actions by the court.",,,,X,No,,,
Resisting Arrest,,,,X,No,,,,Not started
Animals (hunting without proper permit),,,,X,No,,,,Not started
Flagrant Non-support,,,,X - 1 case over 3 years old,No,,,,Not started
"Public Disturbance  (rioting/demonstrating,causing a panic,unspecified)",,,,"X - 1 case,or 2 cases in over 3 years",No,
Protection Order (violating a protection/restraining/stay away/no contact order),,,,"X - 1 case,or 2 cases in over 3 years",No,,,
"Prostitution (soliciting,solicitation,pandering)",,,,"X - 1 case,or 2 cases in over 3 years",No,
"Public Indecency,Indecent Exposure,Lewd/Obscene Act",,,,"X - 1 case,or 2 cases in over 3 years",No,
Fighting,,,,"X - 1 case,or 2 cases in over 3 years",No,,,
"Endangerment/Recklessness (non-traffic reckless/wanton endangerment,child endangerment)",,,,"X - 1 case,or 2 cases in over 3 years",No,,
"Property Damage (vandalism,criminal/malicious mischief)",,,,"X - 1 case,or 2 cases in over 3 years",No,,
Promoting Contraband,,,,"X - 1 case,or 2 cases in over 3 years",No,,,
"Interference/Evade/Obstruction (aid/abet,elude/escape,coercion,false report,perjury,misprison of a felony,harbor,conceal/destroy/tamper evidence,bail jumping,failure to identify)"
Failure to Appear,,,,"X - 1 case,or 2 cases in over 3 years",No,,,
Drugs - Marijuana/Hashish/Cannabis (manufacture/deliver/distribute/sell),,,,"X - 1 case,or 2 cases in over 3 years",No,,,
"Drug Paraphernalia (pipe,needles,syringes)",,,,X - 1-2 cases within 3 years old,No,,
