Name,Status,Last Edited,Last Edited By,Owner,Area of Responsibility,Type,Important URL(s),Condition,Priority
Leverage Notion AI to Create Unique IDs,Up to date,"July 22,2024 1:59 AM",Cody,,Development Process,,,
Website Design Process,Deprecated,"July 22,2024 1:59 AM",Cody,,Design Process,Tutorial / How-To,,
New hire onboarding,In review,"July 22,2024 1:59 AM",Cody,,Onboarding,Tutorial / How-To,,
Making changes to Wordpress,Up to date,"July 22,2024 1:59 AM",Cody,,Website,Tutorial / How-To,,
Reporting in Google Analytics,Up to date,"July 22,2024 1:59 AM",Cody,,Operations,Tutorial / How-To,,
Reporting in Google Analytics,,"July 22,2024 1:59 AM",Cody,Operations,Up to date,,Incomplete,
New hire onboarding,,"July 22,2024 1:59 AM",Cody,Onboarding,In review,,Incomplete,
Making changes to Wordpress,,"July 22,2024 1:59 AM",Cody,Website,Up to date,,Incomplete,
Leverage Notion AI to Create Unique IDs,,"July 22,2024 1:59 AM",Cody,Development Process,Up to date,,Complete,
Website Design Process,,"July 22,2024 1:59 AM",Cody,Design Process,Deprecated,,Incomplete,
