Name,Date,Journal,Progress,Reading,Run,Screen-free,Sleep,Study,Teeth Flossing,Walk,Water,Yoga,Formula
"@July 24,2025 ","July 24,2025",No,▓▓░░░░░░░░ 20%,Yes,Yes,No,No,No,No,No,No
"@July 23,2025 ","July 24,2025",No,▓▓▓▓▓▓▓▓▓░ 90%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"@July 22,2025 ","July 24,2025",No,▓▓░░░░░░░░ 20%,No,No,No,No,Yes,Yes,No,No
"@July 20,2025 ","July 24,2025",No,▓▓░░░░░░░░ 20%,No,Yes,No,No,No,Yes,No,No
"@July 25,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 21,2025 ","July 21,2025",No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No
"@July 27,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 28,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 1,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 30,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 29,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 31,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@July 26,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 2,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 5,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 7,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 9,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 6,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 8,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 10,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 4,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 3,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 11,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 15,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 13,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 16,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 18,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 14,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 19,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 12,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 17,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 26,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 24,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 22,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 27,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 28,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 20,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 21,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 23,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 25,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 5,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 6,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 31,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 29,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@August 30,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 2,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 4,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 1,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 3,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 9,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 7,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 10,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 8,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 11,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 12,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 13,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 14,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 15,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 16,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 17,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 18,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 19,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 20,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 21,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 22,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 23,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 24,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 25,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 26,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 27,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 28,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 29,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@September 30,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 1,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 2,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 3,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 4,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 5,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 6,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 7,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 8,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 9,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 10,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
"@October 11,2025 ",,No,░░░░░░░░░░ 0%,No,No,No,No,No,No,No,No,No
