Title,Areas,Status,Is Active,Favorite,Type,AI keywords,AI summary,Archived,Created,Details,Files & media,Integration,Is Web Note,Media,Mood,Note Content,Parent item,Related Note,Sub-item,Tags,Type 2,URL,UUID,Updated,_TAX RETURN MASTER TRACKING SHEET,👥 All Contacts (OS)
LUIS MUNOZ ALTAMIRANO,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
06-08-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
05-31-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
ITIN Renewal Shipment,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
06-02-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
07-06-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
05-14-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
04-20-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
06-30-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
05-08-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
New Note,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Michael Brown Investment Strategy,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Call w/John Doe,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Family Reunion Agenda,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Jane’s Birthday Gift Ideas,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Unique Fields | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Create Quote from Deal | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Auto update Account info across CRM | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Lead Scores | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Customize Deal Stage Field | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Transfer Record Info based on Criteria | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Custom Buttons | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Add International Call Prefix | Tips - Zoho CRM,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Try for free - AI Music Generator SOUNDRAW,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Anomi | Nomi.ai,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
character.ai | Personalized AI for every moment of your day,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
AI Image Upscaler - Enlarge & Enhance Your Photos for Free,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Tool studio | Relevance AI,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
AI News Digest | Substack,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
AI Voice Generator & Text to Speech,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
TurboScribe: Transcribe Audio and Video to Text,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
TurboScribe - https://turboscribe.ai/,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Zai Test Note,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Luis Notes,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Notion AI,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
ChatGPT Plus,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
QIP Partner Update 11/27/2024,,Not started,Yes,No,,,,,,,,,,,,,,,,,,,,,,
"@November 25,2024 10:11 AM -Square Dashboard ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"eBay label ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Work Summary 11/17/2024,,Not started,Yes,No,,,,,,,,,,,,,,,,,,,,,,
What is Notion,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
4.3.1 Receipts,,Not started,Yes,No,,,,,,,,,,,,,,,,,,,,,,
,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"@November 11,2024 5:41 AM -Your application for benefits has been received. ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@November 11,2024 5:28 AM -NV Flow - National Verifier - Consumer | lifeline | Q | status-successQ ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
I'm on my way! Follow my Uber trip: https://trip.uber.com/1of1k5Gh5v,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
"@June 24,2024 Too much",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 26,2024 — General",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 28,2024 -Dream",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 29,2024 — Chosen notes",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 11,2024 — Feeling Helpless",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@June 13,2024 — Feeling Down",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@July 4,2024 Encounter with BWC",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"@July 15,2024 Hope ",,Not started,No,No,,,,,,,,,,,,,,,,,,,,,
"Comprehensive Claim and Complaint Submission: Tesla Accident,Uber Rental Issues,and Insurance Coverage",,Not started,No,,,,,,,,,,,,,,,,,,,,,
07-01-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
06-13-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
07-10-24,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
New Shipment Drop Office,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Robert Rice’s Keys,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Marvin’s Badoo Notes,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
video - Home - QHRPeople Recruit,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
The Employer’s Guide to Navigating Background Check Compliance - Checkr,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Zoho / Checkr Integration User Guide,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Squarespace — Login,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Zoho Mail - Admin Console,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Admin Console - Reports,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
Logo Maker | Used By 2.3 Million Startups,,Not started,No,No,,,,,,,,,,,,,,,,,,,,,,
