tag,tag_type_guess,recommended_action,canonical_tag_suggestion,transaction_count,total_amount,first_date,last_date
Afterpay,debt/liability,keep as canonical tag candidate,afterpay,2,443.61,2026-05-24T00:00:00-05:00,2026-05-26T08:39:00-05:00
Data Import on 2026-05-24 @ 06:40,provenance/import,"move to import metadata, not canonical tag",data-import-on-2026-05-24-06-40,1187,-4592.84,2026-01-01T00:00:00-06:00,2026-05-24T00:00:00-05:00
Zech,person/entity,keep as canonical tag candidate,zech,2,1100.0,2026-06-03T00:00:00-05:00,2026-06-10T00:00:00-05:00
cash-tips,transaction context,keep as canonical tag candidate,cash-tips,1,152.0,2026-02-01T10:10:00-06:00,2026-02-01T10:10:00-06:00
cash_app_report_1779621043015.csv,provenance/import,"move to import metadata, not canonical tag",cash-app-report-1779621043015-csv,1187,-4592.84,2026-01-01T00:00:00-06:00,2026-05-24T00:00:00-05:00
cashappborrow,debt/liability,keep as canonical tag candidate,cashappborrow,30,1936.9,2026-01-01T00:00:00-06:00,2026-03-25T00:00:00-05:00
fastfood,transaction context,keep as canonical tag candidate,fastfood,1,-22.1,2026-05-17T00:00:00-05:00,2026-05-17T00:00:00-05:00
hotels,transaction context,keep as canonical tag candidate,hotels,1,449.0,2026-05-26T08:39:00-05:00,2026-05-26T08:39:00-05:00
internet,transaction context,keep as canonical tag candidate,internet,1,-69.12,2026-05-07T06:29:00-05:00,2026-05-07T06:29:00-05:00
lisa,person/entity,keep as canonical tag candidate,lisa,2,4.0,2026-05-01T00:00:00-05:00,2026-05-08T00:00:00-05:00
loan,debt/liability,keep as canonical tag candidate,loan,1,449.0,2026-05-26T08:39:00-05:00,2026-05-26T08:39:00-05:00
passthrough,general,review,passthrough,1,-500.0,2026-05-14T00:00:00-05:00,2026-05-14T00:00:00-05:00
payment-overpayment,general,review,payment-overpayment,1,-15.0,2026-05-19T00:00:00-05:00,2026-05-19T00:00:00-05:00
repayment-overdraft,debt/liability,keep as canonical tag candidate,repayment-overdraft,78,-1155.97,2026-01-01T00:00:00-06:00,2026-05-19T00:00:00-05:00
single-control-ledger,ledger/control,keep as canonical tag candidate,single-control-ledger,15,5428.06,2024-12-01T00:00:00-06:00,2024-12-10T00:00:00-06:00
transfer,transaction context,keep as canonical tag candidate,transfer,1,-1.0,2026-05-08T00:00:00-05:00,2026-05-08T00:00:00-05:00
zai-ledger,person/entity,keep as canonical tag candidate,zai-ledger,15,5428.06,2024-12-01T00:00:00-06:00,2024-12-10T00:00:00-06:00
zaitullah-jan,person/entity,keep as canonical tag candidate,zaitullah-jan,15,5428.06,2024-12-01T00:00:00-06:00,2024-12-10T00:00:00-06:00
zjk,general,review,zjk,1,-500.0,2026-05-14T00:00:00-05:00,2026-05-14T00:00:00-05:00
