COA-CODE,COA-NAME,TAX-FORM,TAX-Schedule_C_Line_Items,Credit Accounts
1000,1000-Assets,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1100,1100-Current Assets,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1110,1101-Bank and Cash,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1120,1102-Petty Cash,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1130,1103-Undeposited Funds,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1200,1200-Inventory,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1300,1300-Accounts Receivable,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1400,1400-Pre-Paid Expenses,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1410,1401-Advanced Tax,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1420,1402-Employee Advance,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1500,1500-Other,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1510,1510-Clearing Account,,,
1600,1600-Fixed Assets,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1601,1601-Equipment,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1700,1700-Furniture,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1800,1800-Buildings,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1900,1900-Accumulated Depreciation,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
1999,1999-Other Assets,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
2100,2100-Current Liabilities,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2110,2101-Accounts Payable,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2115,2110-Tax Payable,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2111,2111-Credit Debts,"1040, Not Applicable",Part X - 5. Personal Expenses (Part%20X%20-%205%20Personal%20Expenses%20db4b8a212a1f40e6bc068b54bcc5018d.md),
2120,2120-Unearned Revenue,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2130P,2130-Opening Balance Adjustment,Not Applicable,,
2130,2130-Opening Balance Adjustment,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2140,2140-Employee Reimbursements,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2150,2150-Dimension Adjustments,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2200,2200-Accrued Liabilities,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2300P,2300P-Car Loans Payable,Not Applicable,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2301P,2301P-Bridgecrest M3 Black,Not Applicable,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2302P,2302P-Bridgecrest M3 Blue,Not Applicable,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2500,2500-Long-Term Liabilities,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2600,2600-Mortgage,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2800,2800-Other Liabilities,Schedule C,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
2802-FSA,2802P-FSA LLC,Not Applicable,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),
3000,3000-Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3100,3100-Gross Receipts Income Rev Sales,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3101,3101-Service INcome,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3102,3102-360 Plans,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3200,3200-Consulting Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3250,3250-QHR LLP DRAWS,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3300,3300-Tax Service Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3400,3400-Document Service Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3500,3500-Marketing Service Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3600,3600-Property Subscriptions,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3601,3601-Rental Subs,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3700,3700-Tesla Subs,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
