Title,Archive,Category,Created at,Favorite,Source,Status,Tags,URL
DOR: Mail in Tax Forms,No,📝 Highlight,"June 24, 2025 3:49 AM",No,in,Not started,,https://www.in.gov/dor/tax-forms/other-forms/mail-in-forms/
Make Notion search great again: Vector Database,No,📄 Article,"June 17, 2025 5:55 AM",No,dev,Not started,,https://dev.to/stevengonsalvez/stop-losing-prompts-build-your-own-mcp-prompt-registry-4fi1
Python Development Workflow for Humans — pipenv 2025.0.3 documentation,No,📄 Article,"June 17, 2025 5:42 AM",No,pipenv.pypa,Not started,,https://pipenv.pypa.io/en/latest/
Video understanding,No,📄 Article,"June 17, 2025 5:33 AM",No,ai.google,Not started,,https://ai.google.dev/gemini-api/docs/video-understanding
Image understanding,No,📄 Article,"June 17, 2025 5:33 AM",No,ai.google,Not started,"API, ChatGPT, Ideas, Productivity, Tool",https://ai.google.dev/gemini-api/docs/image-understanding
Document understanding,No,📄 Article,"June 17, 2025 5:33 AM",No,ai.google,Not started,"API, ChatGPT, Ideas, Research, Tool",https://ai.google.dev/gemini-api/docs/document-processing?lang=python
default template,No,🔖 Bookmark,"July 16, 2025 2:56 PM",Yes,netcredit,In progress,Finance,https://www.netcredit.com/signin
DOR: Power of Attorney,No,🔖 Bookmark,"June 24, 2025 3:53 AM",No,in,Not started,,https://www.in.gov/dor/i-am-a/tax-professional/power-of-attorney/
DOR: Tax Practitioners FAQ,No,🔖 Bookmark,"June 24, 2025 3:52 AM",No,in,Not started,,https://www.in.gov/dor/i-am-a/tax-professional/tax-prac-faq/
DOR: Free File,No,🔖 Bookmark,"June 24, 2025 3:51 AM",No,in,Not started,,https://www.in.gov/dor/i-am-a/individual/infreefile/
DOR: Payment Plans,No,🔖 Bookmark,"June 24, 2025 3:51 AM",No,in,Not started,,https://www.in.gov/dor/i-am-a/individual/payments-and-billing/payment-plans/
DWD: Employer Training Grant,No,🔖 Bookmark,"June 24, 2025 3:49 AM",No,in,Not started,,https://www.in.gov/dwd/business-services/etg/
DWD: Indiana Unemployment: Forms and Downloads,No,🔖 Bookmark,"June 24, 2025 3:47 AM",No,in,Not started,,https://www.in.gov/dwd/indiana-unemployment/employers/forms-downloads/
DWD: Indiana Unemployment: Work Search,No,🔖 Bookmark,"June 24, 2025 3:47 AM",No,in,Not started,,https://www.in.gov/dwd/indiana-unemployment/individuals/work-search/#activities
DWD: Indiana Unemployment: Unemployment for Individuals,No,🔖 Bookmark,"June 24, 2025 2:50 AM",No,in,Not started,,https://www.in.gov/dwd/indiana-unemployment/individuals/
DOR: Business Tax Forms,No,🔖 Bookmark,"June 24, 2025 2:48 AM",No,in,Not started,"Business, Government Site, Indiana, Tax",https://www.in.gov/dor/tax-forms/business/current/
DOR: Current Year Individual Tax Forms,No,🔖 Bookmark,"June 24, 2025 2:47 AM",No,in,Not started,"Business, Government Site, Indiana, Tax, Tool",https://www.in.gov/dor/tax-forms/individual/current/
DOR: Indiana Department of Revenue,No,🔖 Bookmark,"June 24, 2025 2:41 AM",No,in,Not started,"Government Site, Indiana, Tax, Tool",https://www.in.gov/dor/
faxzero,No,🔖 Bookmark,"June 21, 2025 7:27 AM",No,faxzero,Not started,"FREE!, Fax, Productivity, Tool",https://faxzero.com/
gotfreefax,No,🔖 Bookmark,"June 21, 2025 7:26 AM",No,gotfreefax,Completed,"Business, Fax, Productivity",https://www.gotfreefax.com/Confirm.aspx
