source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
system_API Recovery Keys & Related.csv,20_schemas/reference_csv/system/system_API Recovery Keys & Related.csv,system,csv,system,record,qisystem,records,raw,needs_profile,171,10,Raw ingestion target
system_Brand Assets.csv,20_schemas/reference_csv/system/system_Brand Assets.csv,system,csv,system,record,qisystem,records,raw,needs_profile,123,4,Raw ingestion target
system_Chargers.csv,20_schemas/reference_csv/system/system_Chargers.csv,system,csv,system,record,qisystem,records,raw,needs_profile,6,6,Raw ingestion target
system_Communication Logs.csv,20_schemas/reference_csv/system/system_Communication Logs.csv,system,csv,system,record,qisystem,records,raw,needs_profile,2,4,Raw ingestion target
system_Core Registry.csv,20_schemas/reference_csv/system/system_Core Registry.csv,system,csv,system,record,qisystem,records,raw,needs_profile,7,8,Raw ingestion target
system_Daily Metrics.csv,20_schemas/reference_csv/system/system_Daily Metrics.csv,system,csv,system,record,qisystem,records,raw,needs_profile,2,18,Raw ingestion target
system_database outline.csv,20_schemas/reference_csv/system/system_database outline.csv,system,csv,system,record,qisystem,records,raw,needs_profile,58,4,Raw ingestion target
system_db_groups_db.csv,20_schemas/reference_csv/system/system_db_groups_db.csv,system,csv,system,record,qisystem,records,raw,needs_profile,9,7,Raw ingestion target
system_DirectoryTrees db.csv,20_schemas/reference_csv/system/system_DirectoryTrees db.csv,system,csv,system,record,qisystem,records,raw,needs_profile,266,10,Raw ingestion target
system_Domains.csv,20_schemas/reference_csv/system/system_Domains.csv,system,csv,system,record,qisystem,records,raw,needs_profile,28,14,Raw ingestion target
system_FieldDependencyRelation_001.csv,20_schemas/reference_csv/system/system_FieldDependencyRelation_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,14,10,Raw ingestion target
system_Fields_001.csv,20_schemas/reference_csv/system/system_Fields_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,2024,18,Raw ingestion target
system_Issue Tracking.csv,20_schemas/reference_csv/system/system_Issue Tracking.csv,system,csv,system,record,qisystem,records,raw,needs_profile,14,9,Raw ingestion target
system_job_titles_db.csv,20_schemas/reference_csv/system/system_job_titles_db.csv,system,csv,system,record,qisystem,records,raw,needs_profile,1443,5,Raw ingestion target
system_LayoutFieldProperties_001.csv,20_schemas/reference_csv/system/system_LayoutFieldProperties_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,1779,10,Raw ingestion target
system_Layout_001.csv,20_schemas/reference_csv/system/system_Layout_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,63,8,Raw ingestion target
system_Lists db Industries.csv,20_schemas/reference_csv/system/system_Lists db Industries.csv,system,csv,system,record,qisystem,records,raw,needs_profile,136,4,Raw ingestion target
system_Lists.csv,20_schemas/reference_csv/system/system_Lists.csv,system,csv,system,record,qisystem,records,raw,needs_profile,46,6,Raw ingestion target
system_Log.csv,20_schemas/reference_csv/system/system_Log.csv,system,csv,system,record,qisystem,records,raw,needs_profile,77,3,Raw ingestion target
system_Master Code Matrix with Numerical Values.csv,20_schemas/reference_csv/system/system_Master Code Matrix with Numerical Values.csv,system,csv,system,record,qisystem,records,raw,needs_profile,68,5,Raw ingestion target
system_Master Services Catalog.csv,20_schemas/reference_csv/system/system_Master Services Catalog.csv,system,csv,system,record,qisystem,records,raw,needs_profile,3028,28,Raw ingestion target
system_Modules_001.csv,20_schemas/reference_csv/system/system_Modules_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,69,11,Raw ingestion target
system_Notification Center (1).csv,20_schemas/reference_csv/system/system_Notification Center (1).csv,system,csv,system,record,qisystem,records,raw,needs_profile,2,20,Raw ingestion target
system_Notifications.csv,20_schemas/reference_csv/system/system_Notifications.csv,system,csv,system,record,qisystem,records,raw,needs_profile,32,6,Raw ingestion target
system_PickListFieldProperties_001.csv,20_schemas/reference_csv/system/system_PickListFieldProperties_001.csv,system,csv,system,record,qisystem,records,raw,needs_profile,1416,15,Raw ingestion target
system_Processes & Checklists.csv,20_schemas/reference_csv/system/system_Processes & Checklists.csv,system,csv,system,record,qisystem,records,raw,needs_profile,12,11,Raw ingestion target
system_QiAlly_Addons_Import_Final.csv,20_schemas/reference_csv/system/system_QiAlly_Addons_Import_Final.csv,system,csv,system,record,qisystem,records,raw,needs_profile,16,25,Raw ingestion target
