Name,Docs/Folder,ROOT FOLDER,Tags
1. Onboarding,EXAMPLE ONBOARDING DOCUMENTS (EXAMPLE%20ONBOARDING%20DOCUMENTS%20bcd839da89e041a5a670801e589136e8.md),,FOLDER
5. Bank Statements,,,FOLDER
4. Receipts,,,FOLDER
3. Invoices,,,FOLDER
9. Misc,,,FOLDER
2. Financial Statements,,,FOLDER
8. Reports,,,FOLDER
EXAMPLE ONBOARDING DOCUMENTS,,1. Onboarding (1%20Onboarding%201b7e93a9582a4343977dfb3a02f8a550.md),DOCUMENT
6. Tax Documents,,,FOLDER
7. Marketing,,,FOLDER
CERTIFICACION DE PASAPORTE - COA ONLY ENTRY,,,
Screenshot 2024-06-22 184337,,,
JONATHAN,,,
MINERVA,,,
Loyda Passport,,,
