Tag Name,Description,Parent Item,Tag Id,Status
Administrative Finance,,,zcrm_6789162000002321222,active
Administrative Services,,,zcrm_6789162000002321281,active
Analytics,,,zcrm_6789162000002321290,active
Annual,Yearly items or goals,Time-Based Tags (Time-Based%20Tags%2022af84a04402800ea26fddee894568af.md),,active
Archived,No longer active but kept for reference,Status Tags (Status%20Tags%2022af84a0440280829373e4678497fdef.md),,active
Article,"Blog posts,news articles,and written content",,,active
Arts,Creative works and processes,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
Automation Services,,,zcrm_6789162000002321215,active
Automation Strategy,,,zcrm_6789162000002321201,active
Book,"Books,e-books,and audiobooks",,,active
Business,Entrepreneurship and corporate topics,Knowledge Domain Tags (Knowledge%20Domain%20Tags%2022af84a04402803ba1bdd1757268874e.md),,active
client,,,zcrm_6789162000001240565,active
Collaboration,Joint projects with others,Interaction Tags (Interaction%20Tags%2022af84a044028029ae1dc33d2b54ff8d.md),,active
Completed,Finished items,Status Tags (Status%20Tags%2022af84a0440280829373e4678497fdef.md),,active
Compliance,,,zcrm_6789162000002321109,active
Compliance Review,,,zcrm_6789162000002321298,active
Confirmed,,,zcrm_6789162000001991105,active
Construction,,,zcrm_6789162000003044010,active
Consulting,,,zcrm_6789162000002321110,active
ContactDB,People and organization databases,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
ContentDB,Content libraries and collections,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
Continuous Improvement,,,zcrm_6789162000002321162,active
Course,Online classes and educational programs,Content Type Tags (Content%20Type%20Tags%2022af84a044028028bb4ad27c36cf1bc0.md),,active
Creation,Original content,Source Tags (Source%20Tags%2022af84a0440280c6bf93caf6c65c2d8f.md),,active
Daily,Every day tasks or content,Time-Based Tags (Time-Based%20Tags%2022af84a04402800ea26fddee894568af.md),,active
Delivery Solutions,,,zcrm_6789162000002321335,active
demu,,,zcrm_6789162000003143011,active
Digital Automation,,,zcrm_6789162000002321172,active
Digital Transformation,,,zcrm_6789162000002321202,active
Discovery,Found through exploration,Source Tags (Source%20Tags%2022af84a0440280c6bf93caf6c65c2d8f.md),,active
Discussed,Topics that have been conversed about,Interaction Tags (Interaction%20Tags%2022af84a044028029ae1dc33d2b54ff8d.md),,active
Document Management,,,zcrm_6789162000002321238,active
Document Translation,,,zcrm_6789162000002321259,active
Documentary,Educational films and series,Content Type Tags (Content%20Type%20Tags%2022af84a044028028bb4ad27c36cf1bc0.md),,active
Documents,,,,active
Driver,,,zcrm_6789162000001328169,active
Educational Support,,,zcrm_6789162000002321357,active
Employee Administration,,,zcrm_6789162000002321272,active
Event Management,,,zcrm_6789162000002321266,active
Family Support,,,zcrm_6789162000002321352,active
FB,,,zcrm_6789162000003044008,active
Feedback,Items requiring or containing evaluation,Interaction Tags (Interaction%20Tags%2022af84a044028029ae1dc33d2b54ff8d.md),,active
Finance,Money-related items,Project Tags (Project%20Tags%2022af84a04402804b8eabe90b93705b77.md),,active
Financial Analysis,,,zcrm_6789162000002321364,active
Financial Management,,,zcrm_6789162000002321111,active
Financial Reporting,,,zcrm_6789162000002321118,active
HabitDB,Habit tracking systems,Custom Database Tags (Custom%20Database%20Tags%2022af84a044028048b5a6ce96b05688ad.md),,active
