Image,Card,Main Keywords,One Liner,Card Name,Card Type,Latest Appearance,Major or Minor,Reading Journal,Times Appeared,id
0_The_Fool.jpg,# 0 The Fool - Reversed,"Lack of Growth,emotional disconnect,,,,,,,
I_The_Magician.jpg,# I The Magician - Reversed,"Creative Block,Lack of Clarity,,,,,,,
2_The_High_Priestess.jpg,# II The High Priestess - Reversed,"Hidden Knowledge,Intuition,,,,,,,
3_The_Empress.jpg,# III The Empress - Reversed,"Creative Block,Financial Instability,,,,,,,
4_The_Emperor.jpg,# IV The Emperor - Reversed,"feeling overwhelmed,lack of authority,,,,,,,
5_The_Hierophant.jpg,# V The Hierophant - Reversed,"lack of guidance,questioning authority,,,,,,,
6_The_Lovers.jpg,# VI The Lovers - Reversed,"Choices,Relationship Discord,,,,,,,
7_The_Chariot.jpg,# VII The Chariot - Reversed,"Determination,Triumph,,,,,,,
8_Strength.jpg,# VIII Strength - Reversed,"Emotional Setbacks,Inner Turmoil,,,,,,,
9_The_Hermit.jpg,# IX The Hermit - Reversed,"inner guidance,introspection,,,,,,,
10_The_Wheel.jpg,# X The Wheel - Reversed,"change,cycles,,,,,,,
11_Justice.jpg,# XI Justice - Reversed,"Accountability,Conflict,,,,,,,
12_The_Hanged_Man.jpg,# XII The Hanged Man - Reversed,"embracing change,letting go,,,,,,,
13_Death.jpg,# XIII Death - Reversed,"Lack of Growth,Mental Confusion,,,,,,,
14_Temperance.jpg,# XIV Temperance - Reversed,"Imbalance,disharmony,,,,,,,
15_The_Devil.jpg,# XV The Devil - Reversed,"breaking free,liberation from materialism,,,,,,,
16_The_Tower.jpg,# XVI The Tower - Reversed,"Chaos,Sudden Upheaval,,,,,,,
17_The_Stars.jpg,# XVII The Stars - Reversed,"lack of inspiration,lost hope,,,,,,,
18_The_Moon.jpg,# XVIII The Moon - Reversed,"Emotional Pain,Inner Turmoil,,,,,,,
19_The_Sun.jpg,# XIX The Sun - Reversed,"Emotional Setbacks,Lack of Clarity,,,,,,,
20_Judgement.jpg,# XX Judgement - Reversed,"Lack of Growth,Mental Confusion,,,,,,,
21_The_World.jpg,# XXI The World - Reversed,"Emotional Setbacks,Lack of Growth,,,,,,,
22_Ace_of_Wands.jpg,# Ace of Wands - Reversed,"Creative Block,Lack of Growth,,,,,,,
23_Two_of_Wands.jpg,# Two of Wands - Reversed,"Choices,Lack of Growth,,,,,,,
24_Three_of_Wands.jpg,# Three of Wands - Reversed,"Lack of Growth,Mental Confusion,,,,,,,
25_Four_of_Wands.jpg,# Four of Wands - Reversed,"Lack of Growth,emotional disconnect,,,,,,,
26_Five_of_Wands.jpg,# Five of Wands - Reversed,"Challenges,Competition,,,,,,,
27_Six_of_Wands.jpg,# Six of Wands - Reversed,"Financial Instability,Lack of Growth,,,,,,,
28_Seven_of_Wands.jpg,# Seven of Wands - Reversed,"Emotional Setbacks,Feeling Trapped,,,,,,,
29_Eight_of_Wands.jpg,# Eight of Wands - Reversed,"communication breakdown,delayed action,,,,,,,
30_Nine_of_Wands.jpg,# IX The Nine of Wands - Reversed,"Facing Challenges,Perseverance,,,,,,,
31_Ten_of_Wands.jpg,# Ten of Wands - Reversed,"Burdens,Overwhelmed,,,,,,,
32_Page_of_Wands.jpg,# Page of Wands - Reversed,"Creative Block,Lack of Growth,,,,,,,
33_Knight_of_Wands.jpg,# Knight of Wands - Reversed,"Impulsiveness,Lack of Direction,,,,,,,
