Account List,,,,,
QIALLY LLC,,,,,

Account #,Full name,Type,Detail type,Description,Total balance
2110,Accounts Payable (A/P),Accounts payable (A/P),Accounts Payable (A/P),,"-17,466.62"
1300,Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),,"5,440.74"
ACAP150,CashApp,Bank,Checking,,"3,599.54"
ACHASE-9266,CHASE SECURE BANKING (9266) - 1,Bank,Checking,,-336.88
1510,Clearing Account,Bank,Trust account,,647.13
ACHASE-8498,Self-Directed-Ret (8498) - 1,Bank,Money Market,,0.12
ASOFI7940-2024,Sofi Bank 2024,Bank,Checking,,
ASOFI7940,SoFi Checking (7940) - 2,Bank,Checking,,"-2,088.65"
ASOFI7940-4424,SoFi Robo Roth IRA (4424) - 2,Bank,Money Market,,0.71
ASOFI7940-6973,SoFi Savings (6973) - 2,Bank,Savings,,-101.76
BC500,Cost of Goods Sold,Cost of Goods Sold,Supplies & Materials - COGS,,
61009,American Express Credit Card,Credit Card,Credit Card,,0.00
2111.JP4139,Chase Credit Card 4139,Credit Card,Credit Card,,121.00
2111.CO6332,CreditOne Joel,Credit Card,Credit Card,300 limit,
2111.ML7626,Mission Lane Cody,Credit Card,Credit Card,33.39% Interest Limit $600,-62.00
2111.SF9250745,Self,Credit Card,Credit Card,,350.00
PCC001,Self Credit Builder,Credit Card,Credit Card,,674.86
X688,Opening Balance Equity,Equity,Opening Balance Equity,,"35,811.74"
X620,Owners Investment,Equity,Owner's Equity,,"-19,822.45"
X888,Retained Earnings,Equity,Retained Earnings,,
,HoneyBook transaction fees,Expenses,Other Miscellaneous Service Cost,,
P500,PersExp,Expenses,Other Business Expenses,,
P569,PersExp:Honduras,Expenses,Other Business Expenses,,
P589,PersExp:Interest Paid,Expenses,Interest Paid,,
P510,PersExp:PersEntertainment,Expenses,Other Business Expenses,,
P520,PersExp:PersFood,Expenses,Other Business Expenses,,
P521,PersExp:PersFood:FoodDiningOut,Expenses,Other Business Expenses,,
P522,PersExp:PersFood:FoodGroceries,Expenses,Other Business Expenses,,
P525,PersExp:PersGifts,Expenses,Other Business Expenses,,
P530,PersExp:PersHealth,Expenses,Other Business Expenses,,
P531,PersExp:PersHealth:Insurance,Expenses,Other Business Expenses,,
P532,PersExp:PersHealth:Medical,Expenses,Other Business Expenses,,
P540,PersExp:PersHome,Expenses,Other Business Expenses,,
P541,PersExp:PersHome:PersHomeHOA,Expenses,Other Business Expenses,,
P542,PersExp:PersHome:PersHomeInsurance,Expenses,Other Business Expenses,,
P543,PersExp:PersHome:PersHomeMortgageInterest,Expenses,Other Business Expenses,,
P544,PersExp:PersHome:PersHomeOther,Expenses,Other Business Expenses,,
P545,PersExp:PersHome:PersHomeRepairs,Expenses,Other Business Expenses,,
P547,PersExp:PersHome:PersHomeUtilties,Expenses,Other Business Expenses,,
P548,PersExp:PersHome:PersHomeUtilties:Electric,Expenses,Other Business Expenses,,
P549,PersExp:PersHome:PersHomeUtilties:Water,Expenses,Other Business Expenses,,
P546,PersExp:PersHome:PersTaxes,Expenses,Other Business Expenses,,
P550,PersExp:Self Care,Expenses,Other Business Expenses,,
P555,PersExp:Subscriptions,Expenses,Other Business Expenses,,
P560,PersExp:Transportation,Expenses,Other Business Expenses,,
P570,PersExp:Utilities,Expenses,Other Business Expenses,,
P571,PersExp:Utilities:Internet,Expenses,Other Business Expenses,,
P572,PersExp:Utilities:Telephone,Expenses,Other Business Expenses,,
,QuickBooks Payments Fees,Expenses,Other selling expenses,,
B500,SchC Expenses,Expenses,Supplies & Materials,,
B501,SchC Expenses:Advertising,Expenses,Other Business Expenses,,
B510,SchC Expenses:Auto,Expenses,Other Business Expenses,,
B511,SchC Expenses:Auto:AutoFuel,Expenses,Other Business Expenses,,
B512,SchC Expenses:Auto:AutoInsurance,Expenses,Other Business Expenses,,
B513,SchC Expenses:Auto:AutoLeasePayments,Expenses,Other Business Expenses,,
B514,SchC Expenses:Auto:AutoMaintenance,Expenses,Other Business Expenses,,
B515,SchC Expenses:Auto:AutoMileageAdjustment,Expenses,Other Business Expenses,,
B516,SchC Expenses:Auto:AutoRegistration,Expenses,Other Business Expenses,,
B517,SchC Expenses:Auto:AutoRepairs,Expenses,Other Business Expenses,,
,SchC Expenses:Bad Debt,Expenses,Bad Debts,,
B520,SchC Expenses:SchCCommissions,Expenses,Other Business Expenses,,
B521,SchC Expenses:SchCContractLabor,Expenses,Other Business Expenses,,
B522,SchC Expenses:SchCDepreciation,Expenses,Other Business Expenses,,
B523,SchC Expenses:SchCEmployeeBenefits,Expenses,Other Business Expenses,,
B524,SchC Expenses:SchCInsurance,Expenses,Other Business Expenses,,
B525,SchC Expenses:SchCLegalProfessional,Expenses,Other Business Expenses,,
B526,SchC Expenses:SchCMeals,Expenses,Other Business Expenses,,
B530,SchC Expenses:SchCOfficeExpense,Expenses,Other Business Expenses,,
B540,SchC Expenses:SchCOtherExpenses,Expenses,Other Business Expenses,,
B544,SchC Expenses:SchCOtherExpensesEducation,Expenses,Other Business Expenses,,
B545,SchC Expenses:SchCOtherExpensesPostage,Expenses,Other Business Expenses,,
B541,SchC Expenses:SchCOtherExpenses:SchCOtherExpensesBankFees,Expenses,Other Business Expenses,,
B542,SchC Expenses:SchCOtherExpenses:SchCOtherExpensesBizGifts,Expenses,Other Business Expenses,,
B543,SchC Expenses:SchCOtherExpenses:SchCOtherExpensesDuesMemberships,Expenses,Other Business Expenses,,
B546,SchC Expenses:SchCOtherExpenses:SchCOtherExpensesSoftware,Expenses,Other Business Expenses,,
B547,SchC Expenses:SchCOtherExpenses:SchCOtherExpensesSubscriptions,Expenses,Other Business Expenses,,
B548,SchC Expenses:SchCOtherExpenses:SchCOtherInterest,Expenses,Other Business Expenses,,
B550,SchC Expenses:SchCPensionPlans,Expenses,Other Business Expenses,,
B551,SchC Expenses:SchCRentOther,Expenses,Other Business Expenses,,
B552,SchC Expenses:SchCRentVehicles,Expenses,Other Business Expenses,,
B553,SchC Expenses:SchCRepairsMaintenance,Expenses,Other Business Expenses,,
B554,SchC Expenses:SchCSupplies,Expenses,Other Business Expenses,,
B555,SchC Expenses:SchCTaxesLicenses,Expenses,Other Business Expenses,,
B560,SchC Expenses:SchCTravel,Expenses,Other Business Expenses,,
