Date,Ref No.,Payee,Memo,Payment,Deposit,Reconciliation Status,Balance,Type,Account,Added in Banking
"May 20, 2024",0,,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,"3,262.62",Deposit,BANK FEES,Manually added
"May 20, 2024",0,,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,"3,226.62",Deposit,BANK FEES,Manually added
"May 20, 2024",0,,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,"3,190.62",Deposit,BANK FEES,Manually added
"May 3, 2024",0,,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,-773.17,Deposit,BANK FEES,Manually added
"March 6, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,545.18,Deposit,BANK FEES,Manually added
"March 6, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,509.18,Deposit,BANK FEES,Manually added
"March 6, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,473.18,Deposit,BANK FEES,Manually added
"February 21, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,472.36,Deposit,BANK FEES,Manually added
"February 21, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,436.36,Deposit,BANK FEES,Manually added
"February 21, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,400.36,Deposit,BANK FEES,Manually added
"January 29, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,"2,346.58",Deposit,BANK FEES,Manually added
"January 29, 2024",0,HUNTINGTON,24-HOUR GRACE OVERDRAFT FEE WAIV,,36.00,Cleared,"2,310.58",Deposit,BANK FEES,Manually added
"August 27, 2024",0,38th Buffet,38TH BUFFET,38.60,,Cleared,"50,746.69",Check,10620 Meals,Manually added
"September 18, 2024",0,Indy Immigrant Solutions,AFP*INDY IMMIGRANT SOL,300.00,,Cleared,"65,689.17",Check,Legal,Manually added
"August 6, 2024",0,Indy Immigrant Solutions,AFP*INDY IMMIGRANT SOL,300.00,,Cleared,"38,915.29",Check,Legal,Manually added
"July 1, 2024",0,Indy Immigrant Solutions,AFP*INDY IMMIGRANT SOL,300.00,,Cleared,"19,675.11",Check,Legal,Manually added
"July 1, 2024",0,Indy Immigrant Solutions,AFP*INDY IMMIGRANT SOL,300.00,,Cleared,"19,975.11",Check,Legal,Manually added
"July 22, 2024",0,HUNTINGTON,AGI*TMO SERVICE FEE,249.00,,Cleared,"32,203.33",Check,BANK FEES,Manually added
"September 11, 2024",0,Amazon,AMAZON MARK* 1H09Z8MJ3,21.39,,Cleared,"61,496.07",Check,10700 Office,Manually added
"September 23, 2024",0,Amazon,AMAZON MARK* FZ0HT8IX3,5.94,,Cleared,"71,646.87",Check,10700 Office,Manually added
"September 9, 2024",0,Amazon,AMAZON MARK* ZT8542KS1,27.81,,Cleared,"61,098.42",Check,10700 Office,Manually added
"June 17, 2024",0,Amazon,AMAZON MKTPL*053MQ9KR3,60.98,,Cleared,"14,230.59",Check,10700 Office,Manually added
"September 16, 2024",0,Amazon,AMAZON MKTPL*I36RS8U63,32.09,,Cleared,"65,827.02",Check,10700 Office,Manually added
"June 17, 2024",0,Amazon,AMAZON MKTPL*PS1W798Q3,10.69,,Cleared,"14,219.90",Check,10700 Office,Manually added
"July 24, 2024",0,Amazon,AMAZON MKTPL*RJ4VP57F2,17.00,,Cleared,"32,573.84",Check,10700 Office,Manually added
