Name,Value,Tax Home Percentage DB,Office % (rollup),Office as %
Total Rent,,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$0.00
Repairs & Maintenance,"$2,000.00",Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06
Total Utilities (w/ garbage),"$5,000.00",Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06
Total Insurance,"$4,000.00",Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06
Total Mortgage Interest,"$20,000.00",Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06
Total Property Taxes,"$8,000.00",Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06
Total Utilities (w/ garbage),"$5,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$300.00
Total Insurance,"$4,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$240.00
Total Property Taxes,"$8,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$480.00
Total Mortgage Interest,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),200.00",0.06,"$1
Repairs & Maintenance,"$2,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$120.00
Total Rent,,Home (Home%20255f84a044028189a9a4d9356dae6edd.md),0.06,$0.00
