Day,Sales,Items,Sales2,Weekly,Yard Sale Inventory
August 1,0,0/0,,,
August 2,0,0/0,,,
August 3,1,1/1,,,
August 4,0,0/0,,,
August 5,0,0/0,,,
August 6,0,0/0,,,
August 7,0,0/0,,,
August 8,0,0/0,,,
August 9,0,0/0,,,
August 10,0,0/0,,,
August 11,0,0/0,,,
August 12,0,0/0,,,
August 13,0,0/0,,,
August 14,0,0/0,,,
August 15,0,0/0,,,
August 16,0,0/0,,,
August 17,0,0/0,,,
August 18,0,0/0,,,
August 19,0,0/0,,,
August 20,0,0/0,,,
August 21,0,0/0,,,
August 22,0,0/0,,,
August 23,0,0/0,,,
August 24,0,0/0,,,
August 25,0,0/0,,,
August 26,0,0/0,,,
August 27,0,0/0,,,
August 28,0,0/0,,,
August 29,0,0/0,,,
August 30,0,0/0,,,
August 31,0,0/0,,,
August 1,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 2,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 3,1,1/1,$1.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),T-Shirt Mens - Graphic california (T-Shirt%20Mens%20-%20Graphic%20california%206f27cc91d8e54354b45957315aa2341c.md)
August 4,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 6,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 5,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 7,0,0/0,$0.00,Week 1 (Week%201%205b429913127745069b0b02828f0b0d04.md),
August 8,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 10,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 9,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 15,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 11,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 13,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 14,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 12,0,0/0,$0.00,Week 2 (Week%202%20755c4c776cb84f039548222089e4c289.md),
August 18,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 16,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 19,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 17,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 20,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 21,0,0/0,$0.00,Week 3 (Week%203%200e3fe0b868834a75abb0ab5e4cee5497.md),
August 22,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 27,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 23,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 26,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 28,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 24,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 25,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 30,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 29,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
August 31,0,0/0,$0.00,Week 4 (Week%204%2045e6ae2291d4435d9c16a4e6db3a1b99.md),
