Account Number,Account Name,Type,Detail Type
1000,Business Checking,Bank,Checking
1100,Clearing Account,Bank,Trust Account
1200,Undeposited Funds,Other Current Assets,Undeposited Funds
2000,Business Assets,Other Current Assets,Other Current Assets
2100,Inventory Asset,Other Current Assets,Inventory
2900,Uncategorized Business Asset,Other Current Assets,Other Current Assets
3000,Accounts Payable,Accounts Payable,Accounts Payable
3100,Deferred Revenue,Other Current Liabilities,Deferred Revenue
3200,Business Liabilities,Other Current Liabilities,Other Current Liabilities
4000,Business Income,Income,Service/Fee Income
4010,Accounting Income,Income,Service/Fee Income
4020,Consulting Income,Income,Service/Fee Income
4030,HR Consulting Income,Income,Service/Fee Income
4040,IT Consulting Income,Income,Service/Fee Income
4050,Tax Prep Income,Income,Service/Fee Income
4060,Subscriptions Income,Income,Service/Fee Income
4070,Square Income,Income,Service/Fee Income
4080,Stripe Income,Income,Service/Fee Income
4090,Shipping Income,Income,Service/Fee Income
4100,Product Sales Income,Income,Sales of Product Income
4110,Markup Income,Income,Service/Fee Income
4120,Digital Services,Income,Service/Fee Income
4130,Billable Expense Income,Income,Service/Fee Income
4140,Discounts Given,Income,Discounts/Refunds Given
4150,Unapplied Cash Payment Income,Income,Unapplied Cash Payment Income
5000,COGS – Materials & Supplies,Cost of Goods Sold,Supplies & Materials
6000,Advertising,Expense,Advertising
6100,Auto Expense,Expense,Other Business Expenses
6110,Auto Fuel,Expense,Other Business Expenses
6120,Auto Insurance,Expense,Other Business Expenses
6130,Auto Lease,Expense,Other Business Expenses
6140,Auto Maintenance,Expense,Other Business Expenses
6150,Auto Registration,Expense,Other Business Expenses
6160,Auto Repairs,Expense,Other Business Expenses
6200,Contract Labor,Expense,Contract Labor
6300,Depreciation,Expense,Depreciation
6400,Insurance,Expense,Insurance
6500,Legal & Professional,Expense,Legal & Professional Fees
6600,Meals,Expense,Meals
6700,Office Expense,Expense,Office/General Administrative
6800,Other Expenses,Expense,Other Business Expenses
6810,Education,Expense,Other Business Expenses
6820,Postage,Expense,Other Business Expenses
6830,Bank Fees,Expense,Bank Charges
6840,Business Gifts,Expense,Other Business Expenses
6850,Dues & Memberships,Expense,Dues & Subscriptions
6860,Software,Expense,Other Business Expenses
6870,Subscriptions,Expense,Dues & Subscriptions
6880,Business Interest,Expense,Interest Paid
6900,Pension Plans,Expense,Pension/Profit Sharing
6950,Rent,Expense,Rent or Lease Payments
6960,Rent – Vehicles,Expense,Rent or Lease Payments
6970,Repairs & Maintenance,Expense,Repairs & Maintenance
6980,Supplies,Expense,Supplies
6990,Taxes & Licenses,Expense,Taxes & Licenses
6995,Travel,Expense,Travel
6996,Travel – Lodging,Expense,Travel
6997,Travel – Meals,Expense,Meals
6998,Travel – Parking & Tolls,Expense,Travel
6999,Utilities,Expense,Utilities
8000,Owner’s Equity,Equity,Owner's Equity
8100,Opening Balance Equity,Equity,Opening Balance Equity
8200,Retained Earnings,Equity,Retained Earnings
9000,Personal Income,Income,Service/Fee Income
9010,Wages,Income,Service/Fee Income
9020,Interest Income,Income,Service/Fee Income
9030,Dividend Income,Income,Service/Fee Income
9040,Roommate Income,Income,Service/Fee Income
9050,Other Personal Income,Income,Service/Fee Income
9100,Personal Expenses,Expense,Other Business Expenses
9110,Food – Dining,Expense,Other Business Expenses
9120,Food – Groceries,Expense,Other Business Expenses
9130,Health – Insurance,Expense,Other Business Expenses
9140,Health – Medical,Expense,Other Business Expenses
9150,Home – Mortgage Interest,Expense,Other Business Expenses
9160,Home – Property Taxes,Expense,Other Business Expenses
9170,Home – Utilities,Expense,Other Business Expenses
9180,Home – Repairs,Expense,Other Business Expenses
9190,Transportation,Expense,Other Business Expenses
9200,Subscriptions,Expense,Other Business Expenses
9210,Self Care,Expense,Other Business Expenses
9220,Personal Gifts,Expense,Other Business Expenses
9500,Personal Assets,Other Current Assets,Other Current Assets
9510,Vehicles,Other Current Assets,Other Current Assets
9511,Tesla Model 3 #1,Other Current Assets,Other Current Assets
9512,Tesla Model 3 #2,Other Current Assets,Other Current Assets
9520,Home,Other Current Assets,Other Current Assets
9530,Retirement Accounts,Other Current Assets,Other Current Assets
9700,Personal Liabilities,Other Current Liabilities,Other Current Liabilities
9710,Auto Loans,Other Current Liabilities,Other Current Liabilities
9720,Mortgages,Other Current Liabilities,Other Current Liabilities
9730,Collections (ARSI),Other Current Liabilities,Other Current Liabilities
9740,Credit Cards,Credit Card,Credit Card
