UUID,Title,Content,Access Level,Category,Author,Source System,Created Time,Modified Time,Tags,Status,Priority,Version,Confidence Score,Intent Purpose,Dependencies Links
AIK-27cf84a04402805a9a1ddc1927939283,How to Access Your Client Portal,"Instructions for logging into QiAlly portal,uploading documents,and using chat/tickets.",Public,FAQ,Support Bot,AI-KB,"September 28,2025 12:23 AM","September 28, 2025 12:43 AM",,,,,93,Help new clients self-serve and engage easily,
AIK-27cf84a044028075bd21dd65cd2723ad,Pricing & Engagement Models,"Explains retainer,buffer deposit,growth bonuses,and service tiers for new clients.",Public,Policy,Sales Assistant,AI-KB,"September 28,2025 12:23 AM",,,,,,92,Help prospects understand investment and ROI,
AIK-27cf84a0440280a988cef6da41db56cc,Case Studies: BuiltByRays Construction,Shows real-world example of financial growth and ops stability provided by QiAlly.,Public,Article,Client Success Bot,AI-KB,"September 28,2025 12:23 AM","September 28,2025 12:43 AM",,Done,,,90,Demonstrate value through client success,
AIK-27cf84a044028057ab71c320c871b86f,Client Onboarding Checklist,"Step-by-step tasks for onboarding: contract,kickoff call,portal setup,first deliverables.",Internal,Procedure,Onboarding Assistant,AI-KB,"September 28,2025 12:23 AM",,,,,,90,Guide team and client through smooth onboarding,
AIK-27cf84a0440280688344ee21e42c7458,QiAlly Service Overview,"High-level summary of QiAlly services: strategy,tech setup,CFO OS,client portals.",Public,Guideline,Client Onboarding Bot,AI-KB,"September 28,2025 12:23 AM",,,,,,95,Introduce prospects to service offerings,
AIK-27cf84a0440280cea80bf556fadab9f1,Why Choose QiAlly?,"Explains QiAlly's unique blend of strategy,tech,and CFO-level support compared to generic consultants.",Public,FAQ,Sales Assistant,AI-KB,"September 28,2025 12:32 AM","September 28, 2025 12:43 AM",,,,,95,Answer prospect question on differentiation,
AIK-27cf84a0440280de9afdfe8eec616c22,Data Security & Privacy,"Explains commitment to secure portals,encrypted communication,and client data handling practices.",Public,FAQ,Compliance Bot,AI-KB,"September 28,2025 12:35 AM","September 28, 2025 12:47 AM",,,,,93,Reassure prospects about data handling,
AIK-27cf84a04402807a9b97eb01d77efc54,Support Availability,"Support hours,escalation paths,and typical response times for clients.",Public,FAQ,Support Bot,AI-KB,"September 28,2025 12:35 AM","September 28, 2025 12:43 AM",,,,,91,Assure prospects of availability,
AIK-27cf84a044028004ba2ddf5cf1bdb44a,Onboarding Timeline,"Typical onboarding takes 1–2 weeks: setup,kickoff call,portal access,first deliverables.",Public,FAQ,Onboarding Assistant,AI-KB,"September 28,2025 12:35 AM",,,,,,92,Answer prospect question about speed,
AIK-27cf84a04402806f97d8c400656f5a57,Industries We Serve,"Outlines focus areas: construction,small business,consulting,creative professionals,nonprofits.",Public,FAQ,Client Onboarding Bot,AI-KB,"September 28,2025 12:35 AM",,,,,,90,Clarify fit for potential clients,
AIK-27cf84a04402801290cddbf4f53ea184,ROI and Results Timeline,"Explains typical client outcomes and how long it takes to see results (cost savings,process clarity,revenue growth) — usually 1–3 months for efficiency gains,3–6 months for financial ROI.",Publice,Value,Sales Assistant,AI-KB,"September 28,2025 12:45 AM",,,,,,85,Set realistic expectations for new clients about outcomes,
ZH-0271e89875f0aed7893b692d92250c2b,Answering your first ticket.,"<p>Zoho Desk packs a bunch of features that are expressly there to help you respond to tickets smartly.<br /><br />The first of these, you&#39;ve already discovered: Auto-Suggest Articles. Zoho Desk pulls up relevant articles on the ticket&#39;s content—so you can save time on frequently asked questions.<br /><br />Every action that you can perform with respect to a ticket has a corresponding keyboard shortcut. With these, you can optimize the time you spend on each ticket. (And the shortcut to access these shortcuts is Shift + ? ).When you need to quickly consult a colleague, you can tag them in a ticket comment without having to leave this screen. That&#39;s like a quick chat, without even leaving your place, and with the full context of the ticket.<br /><br />With these, you&#39;re good to go.<br /><br />Go on, save the world from bad customer service!</p>",Internal,Acuerdos,RICE-VELASQUEZ,Zoho Desk,"September 2, 2023 10:46 AM (EDT)","April 21, 2024 9:39 AM (EDT)",first ticket,Published,,,,,
