Name,Tags,Parent item,Sub-item
Criminal History Check,,,
Employment Verification,,,
Education Verification,,,
Credit Check,,,
Reference Check,,,
Drug Testing,,,
Motor Vehicle Record Check,,,
Professional License Verification,,,
Social Media Screening,,,
Identity Verification,,,
Felony,,,
Misdemeanor,,,
Infractions,,,
Expunged Records,,,
Juvenile Records,,,
None,,,
Define acceptable and unacceptable charges for candidates.,,,
"ChargeType (e.g.,Felony,,
"Severity (e.g.,High,,
"Disposition (e.g.,Convicted,,
"Decision (e.g.,Pass,,
ProviderID,,,
ProviderName,,,
"ServiceType (e.g.,Criminal,,
ContactInfo,,,
Website,,,
PolicyID,,,
a. Background Check Types,,,
b. Types of Charges Allowed,,,
c. Adjudication Grids,,,
GridID,,,
Standardize how background check results are evaluated.,,,
d. Background Check Providers,,,
Approved providers for conducting background checks.,,,
a. Background Check Types,Social Media Screening (Social%20Media%20Screening%20120f84a044028014a7cdef12ad806674.md),,"Identity Verification (Identity%20Verification%20120f84a04402807789bbcbd3624e7969.md)
Employment Verification,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Criminal History Check,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Education Verification,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Credit Check,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Reference Check,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Motor Vehicle Record Check,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Drug Testing,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Social Media Screening,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Professional License Verification,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
Identity Verification,,a. Background Check Types (a%20Background%20Check%20Types%20120f84a044028011b39ac09f662eb212.md),
b. Types of Charges Allowed,None (None%20120f84a0440280728ca9d7de58e01bec.md),,"Define acceptable and unacceptable charges for candidates. (Define%20acceptable%20and%20unacceptable%20charges%20for%20can%20120f84a0440280dba007fc2ba4e781df.md)
Define acceptable and unacceptable charges for candidates.,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
Felony,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
Misdemeanor,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
Expunged Records,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
Infractions,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
Juvenile Records,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
None,,b. Types of Charges Allowed (b%20Types%20of%20Charges%20Allowed%20120f84a04402807a866dfeca480b0e87.md),
c. Adjudication Grids,GridID (GridID%20120f84a0440280c09435f006d070675e.md),,"Standardize how background check results are evaluated. (Standardize%20how%20background%20check%20results%20are%20evalu%20120f84a0440280a7b87ad7339e422cac.md)
Standardize how background check results are evaluated.,,c. Adjudication Grids (c%20Adjudication%20Grids%20120f84a044028033b59cdb077c1e2bd5.md),
GridID,,c. Adjudication Grids (c%20Adjudication%20Grids%20120f84a044028033b59cdb077c1e2bd5.md),PolicyID (PolicyID%20120f84a0440280a9b844e0ba1575ad8a.md)
PolicyID,,GridID (GridID%20120f84a0440280c09435f006d070675e.md),
"ChargeType (e.g.,c. Adjudication Grids (c%20Adjudication%20Grids%20120f84a044028033b59cdb077c1e2bd5.md),Felony,Misdemeanor)"
"Disposition (e.g.,Expunged)",Convicted,Acquitted
"Severity (e.g.,Low)",High,Medium
"Decision (e.g.,Conditional Pass)",Pass,Fail
d. Background Check Providers,,,Approved providers for conducting background checks. (Approved%20providers%20for%20conducting%20background%20check%20120f84a04402800099eaf35151ccff30.md)
Approved providers for conducting background checks.,ProviderID (ProviderID%20120f84a0440280bf93dfef3e15f42ce8.md),d. Background Check Providers (d%20Background%20Check%20Providers%20120f84a0440280809fc8daea2bbd0207.md),"ProviderName (ProviderName%20120f84a0440280b79edffe90ebdc6acc.md)
ProviderName,,Approved providers for conducting background checks. (Approved%20providers%20for%20conducting%20background%20check%20120f84a04402800099eaf35151ccff30.md),
ProviderID,,Approved providers for conducting background checks. (Approved%20providers%20for%20conducting%20background%20check%20120f84a04402800099eaf35151ccff30.md),
"ServiceType (e.g.,Education)",Criminal,Employment
ContactInfo,,Approved providers for conducting background checks. (Approved%20providers%20for%20conducting%20background%20check%20120f84a04402800099eaf35151ccff30.md),
Website,,Approved providers for conducting background checks. (Approved%20providers%20for%20conducting%20background%20check%20120f84a04402800099eaf35151ccff30.md),
