Document Title,Main Section,Parent item,Page Numbers,Type Main,Filing Status,Relevant Dates,Google Drive File,Priority,Notes,Document Link,Sub-item,Detail Type,Related Evidence,Related Form,Tags,Type Combined,crea,Last edited time
0000–0099 INTRO & CASE OVERVIEW,0000–0099: INTRO & CASE OVERVIEW,0000 – Cover Page (0000%20%E2%80%93%20Cover%20Page%201ebf84a04402801e87c9cde44a3e8cc0.csv),,Binder,Not Started,,,,,,"0001 — CASE BINDER – TABLE OF CONTENTS (0001%20%E2%80%94%20CASE%20BINDER%20%E2%80%93%20TABLE%20OF%20CONTENTS%201ebf84a0440280148aaedb3d06d187e3.csv), 0090 – References to Past Cases (Asylum, I-130) (Links only, no files) (0090%20%E2%80%93%20References%20to%20Past%20Cases%20(Asylum,%20I-130)%20(L%201f2f84a04402800ab2dcefb215b32ae8.csv), 0030 – Legal Strategy & Notes (0030%20%E2%80%93%20Legal%20Strategy%20&%20Notes%201ebf84a04402808bb8a9db40b69d1b77.csv), 0020 – Case Overview (Summary & Debrief) (0020%20%E2%80%93%20Case%20Overview%20(Summary%20&%20Debrief)%201ebf84a04402803cb97ed71feac45670.csv), 0010 – How to Use This Binder (User Guide) (0010%20%E2%80%93%20How%20to%20Use%20This%20Binder%20(User%20Guide)%201ebf84a044028018bf9fe30ec91f0259.csv)",Section,,NA,,Binder-Section-NA,"May 13, 2025 6:08 PM","June 22, 2025 5:43 AM"
"0090 – References to Past Cases (Asylum, I-130) (Links only, no files)",0000–0099: INTRO & CASE OVERVIEW,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),,Reference(s),Not Started,,,,,,,Past Case(s),,I-130,,Reference(s)-Past Case(s)-I-130,"May 13, 2025 6:06 PM","June 22, 2025 5:43 AM"
0030 – Legal Strategy & Notes,0000–0099: INTRO & CASE OVERVIEW,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),,Note(s),Not Started,,,,,,0035 – Case Status Snapshot (0035%20%E2%80%93%20Case%20Status%20Snapshot%201ebf84a0440280b4ac68dde6293f04ac.csv),Strategy,,NA,,Note(s)-Strategy-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0035 – Case Status Snapshot,0000–0099: INTRO & CASE OVERVIEW,0030 – Legal Strategy & Notes (0030%20%E2%80%93%20Legal%20Strategy%20&%20Notes%201ebf84a04402808bb8a9db40b69d1b77.csv),,Update(s),Not Started,,,,,,,Snapshot,,NA,,Update(s)-Snapshot-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0010 – How to Use This Binder (User Guide),0000–0099: INTRO & CASE OVERVIEW,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),,Instruction(s),Not Started,,,,,,,Guide,,NA,,Instruction(s)-Guide-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0020 – Case Overview (Summary & Debrief),0000–0099: INTRO & CASE OVERVIEW,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),,Summary,Not Started,,,,,,0025 – Timeline of Events (0025%20%E2%80%93%20Timeline%20of%20Events%201ebf84a0440280c187edf39621763a61.csv),Debrief,,NA,,Summary-Debrief-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0025 – Timeline of Events,0000–0099: INTRO & CASE OVERVIEW,0020 – Case Overview (Summary & Debrief) (0020%20%E2%80%93%20Case%20Overview%20(Summary%20&%20Debrief)%201ebf84a04402803cb97ed71feac45670.csv),,Timeline(s),Not Started,,,,,,,,,NA,,Timeline(s)--NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0000 – Cover Page,0000–0099: INTRO & CASE OVERVIEW,,0001,Binder,Not Started,,,,,,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),Cover,,NA,,Binder-Cover-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0001 — CASE BINDER – TABLE OF CONTENTS,0000–0099: INTRO & CASE OVERVIEW,0000–0099 INTRO & CASE OVERVIEW (0000%E2%80%930099%20INTRO%20&%20CASE%20OVERVIEW%201f2f84a0440280248a15c49463a4d526.csv),0002,Binder,Not Started,,,,,,,TOC,,NA,,Binder-TOC-NA,"May 5, 2025 8:50 PM","June 22, 2025 5:43 AM"
0115 – Social Security Card (if any),0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,SSN,,NA,,ID Document(s)-SSN-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0114 – A-Number / USCIS Profile,0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,A-Number,,NA,,ID Document(s)-A-Number-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0117 – Medical Insurance / Records (optional),0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,Medical,,NA,,ID Document(s)-Medical-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0116 – Driver’s License or State ID,0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,State,,NA,,ID Document(s)-State-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
"0110 – Primary IDs (State, Consular)",0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,Primary,,NA,,ID Document(s)-Primary-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0111 – Passport(s),0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,Passport(s),,NA,,ID Document(s)-Passport(s)-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0112 – Birth Certificate(s),0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,Certificate(s),,NA,,ID Document(s)-Certificate(s)-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0113 – Marriage Certificate(s),0100–0199: IDENTITY & BACKGROUND DOCUMENTS,0100–0199 IDENTITY & BACKGROUND DOCUMENTS (0100%E2%80%930199%20IDENTITY%20&%20BACKGROUND%20DOCUMENTS%201ebf84a04402808cbbcce1eae8c03ca7.csv),,ID Document(s),Not Started,,,,,,,Marriage Certificate(s),,NA,,ID Document(s)-Marriage Certificate(s)-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0100–0199 IDENTITY & BACKGROUND DOCUMENTS,0100–0199: IDENTITY & BACKGROUND DOCUMENTS,,,Binder,Not Started,,,,,,"0117 – Medical Insurance / Records (optional) (0117%20%E2%80%93%20Medical%20Insurance%20Records%20(optional)%201ebf84a044028029a4c3e4fb1c50cabd.csv), 0116 – Driver’s License or State ID (0116%20%E2%80%93%20Driver%E2%80%99s%20License%20or%20State%20ID%201ebf84a044028079b5c7f933713a8b54.csv), 0115 – Social Security Card (if any) (0115%20%E2%80%93%20Social%20Security%20Card%20(if%20any)%201ebf84a04402800daf8bf0ea4f585f64.csv), 0114 – A-Number / USCIS Profile (0114%20%E2%80%93%20A-Number%20USCIS%20Profile%201ebf84a04402802995e3ce0c7b2db795.csv), 0113 – Marriage Certificate(s) (0113%20%E2%80%93%20Marriage%20Certificate(s)%201ebf84a0440280adba2afdbb337aa447.csv), 0112 – Birth Certificate(s) (0112%20%E2%80%93%20Birth%20Certificate(s)%201ebf84a04402804abde2f2ecdc6e4b80.csv), 0111 – Passport(s) (0111%20%E2%80%93%20Passport(s)%201ebf84a044028022a2ebcb7ee438dc5d.csv), 0110 – Primary IDs (State, Consular) (0110%20%E2%80%93%20Primary%20IDs%20(State,%20Consular)%201ebf84a04402800d9d64ceb856e67b6a.csv)",Section,,NA,,Binder-Section-NA,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
0202 – C-11 Evidence (Parole Category Support),0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,Parole,,"C-11, I-765",,"Form(s)-Parole-I-765,C-11","May 13, 2025 7:14 PM","June 22, 2025 5:43 AM"
0292 — I-601 Form Completed,0200–0299: FORMS & APPLICATIONS,0290 — Waivers (0290%20%E2%80%94%20Waivers%201ebf84a04402802f9535f50d7874a4d2.csv),,Form(s),Not Started,,,,,,,Waivers,,I-601,,Form(s)-Waivers-I-601,"May 13, 2025 7:06 PM","June 22, 2025 5:43 AM"
0291 — I-601A Form Completed,0200–0299: FORMS & APPLICATIONS,0290 — Waivers (0290%20%E2%80%94%20Waivers%201ebf84a04402802f9535f50d7874a4d2.csv),,Form(s),Not Started,,,,,,,Waivers,,I-601A,,Form(s)-Waivers-I-601A,"May 13, 2025 7:06 PM","June 22, 2025 5:43 AM"
0201 – I-765 – EAD Overview,0200–0299: FORMS & APPLICATIONS,0200 — Employment Authorization (0200%20%E2%80%94%20Employment%20Authorization%201ebf84a04402809bb8b1f3ac13c08ae1.csv),,Form(s),Not Started,,,,,,,EAD,,I-765,,Form(s)-EAD-I-765,"May 13, 2025 6:12 PM","June 22, 2025 5:43 AM"
0276 – Psychological Evidence,0200–0299: FORMS & APPLICATIONS,0270 – I-485 – Adjustment of Status (0270%20%E2%80%93%20I-485%20%E2%80%93%20Adjustment%20of%20Status%201ebf84a0440280798d02e7644c8d6935.csv),,Form(s),Not Started,,,,,,,Evidence,,I-485,,Form(s)-Evidence-I-485,"May 5, 2025 8:55 PM","June 22, 2025 5:43 AM"
