ID,Category-Type,Item description,QTY,Price,Status,Date Sold,Date Sold Summary,Revenue,Summary Total,Total
YSI-2,Electronics: Cables and Chargers,Aux Cable Black,2,$1.00,On Sale,,,,,
YSI-4,Electronics: Cables and Chargers,Aux Cable Gray - HD,1,$3.00,On Sale,,,,,
YSI-26,Books,Book - Girl in Pieces,1,$2.00,On Sale,,,,,
YSI-5,Electronics: Cables and Chargers,Data Cable Scan Print Black,1,$1.00,On Sale,,,,,
YSI-13,Accessories: Home Accessories,Decorative Canvas Painting 5*7 “Best Friends”,1,$2.00,On Sale,,,,,
YSI-11,Accessories: Home Accessories,Decorative Canvas Painting 5*7 “Family Rules”,1,$2.00,On Sale,,,,,
YSI-12,Accessories: Home Accessories,Decorative Canvas Painting 5*7 “Imagine Create Dream”,1,$2.00,On Sale,,,,,
YSI-14,Electronics: Cables and Chargers,Docking Station USB 3.0 Original Price $180.00,1,$65.00,On Sale,,,,,
YSI-21,Accessories: Glasses,Eye Glasses - Black,1,$5.00,On Sale,,,,,
YSI-19,Accessories: Glasses,Eye Glasses - Blue,1,$5.00,On Sale,,,,,
YSI-16,Kitchenware: Glassware,"Glassware: Nightmare before Christmas jack Skellington collectors shot glasses. ",1,$10.00,On Sale,,,,,
YSI-18,Accessories: Bags,Handbag Brown,1,$10.00,On Sale,,,,,
YSI-32,Accessories: Holiday Supplies,Holiday Wrapping Paper,1,$1.00,On Sale,,,,,
YSI-22,Accessories: Sports Gear,Knee Shin Guards,2,$10.00,On Sale,,,,,
YSI-1,Lighting Equipment,Lights-LED-Stage-Tall,1,$15.00,On Sale,,,,,
YSI-31,Accessories: Photo Albums,Photo Album,1,$2.00,On Sale,,,,,
YSI-24,Accessories: Shoes,Red Womens Shoes - Tennis Size 11,1,$10.00,On Sale,,,,,
YSI-15,Electronics: Smart Home Devices,Smart Home Amazon Thermostat No Pump,1,$20.00,On Sale,,,,,
YSI-34,,T-Shift Womens - Graphic Sugar Skull,1,,On Sale,,,,,
YSI-10,Clothing: Men's Clothes,T-Shirt - Graphic - “Kiss Destroyer”,1,$5.00,On Sale,,,,,
YSI-17,Clothing: Men's Clothes,T-Shirt - Graphic - “Sorry…Selective Hearing”,1,$2.00,On Sale,,,,,
YSI-33,Clothing: Men's Clothes,T-Shirt Mens - Graphic california,1,,Sold,,,,,
YSI-25,Electronics: Cables and Chargers,USB to HDMI Splitter,1,$5.00,On Sale,,,,,
YSI-3,Electronics: Cables and Chargers,USB to USB-C - Black,3,$1.00,On Sale,,,,,
YSI-6,Electronics: Cables and Chargers,USB to USB-C - White - Short,1,$1.00,On Sale,,,,,
YSI-20,Accessories: Bags,Wallet - Womens Guess Black,1,$5.00,On Sale,,,,,
YSI-30,Electronics: Smart Home Devices,Wifi Adapter TP Link,1,$5.00,On Sale,,,,,
YSI-23,Electronics: Smart Home Devices,Wifi Extender - TpLink,1,$5.00,On Sale,,,,,
YSI-28,Electronics: Smart Home Devices,Wifi Extender Netgear,1,$5.00,On Sale,,,,,
YSI-29,Electronics: Smart Home Devices,Wifi Extender TPLink,1,$5.00,On Sale,,,,,
YSI-9,Accessories: Watches,Wrist Watch - Casio G Shock Womens Blue,1,$5.00,On Sale,,,,,
YSI-8,Accessories: Watches,Wrist Watch - Casio G Shock Womens Pink,1,$5.00,On Sale,,,,,
YSI-7,Accessories: Watches,Wrist Watch - Old Wrangler,1,$5.00,On Sale,,,,,
YSI-1,Lighting Equipment,Lights-LED-Stage-Tall,1,$15.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$15.00
YSI-2,Electronics: Cables and Chargers,Aux Cable Black,2,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
YSI-3,Electronics: Cables and Chargers,USB to USB-C - Black,3,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$3.00
YSI-4,Electronics: Cables and Chargers,Aux Cable Gray - HD,1,$3.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$3.00
YSI-5,Electronics: Cables and Chargers,Data Cable Scan Print Black,1,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$1.00
YSI-6,Electronics: Cables and Chargers,USB to USB-C - White - Short,1,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$1.00
YSI-7,Accessories: Watches,Wrist Watch - Old Wrangler,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-8,Accessories: Watches,Wrist Watch - Casio G Shock Womens Pink,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-9,Accessories: Watches,Wrist Watch - Casio G Shock Womens Blue,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-10,Clothing: Men's Clothes,T-Shirt - Graphic - “Kiss Destroyer”,1,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$5.00
YSI-11,Accessories: Home Accessories,Decorative Canvas Painting 5*7 “Family Rules”,1,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
YSI-12,Accessories: Home Accessories,Decorative Canvas Painting 5*7 “Imagine Create Dream”,1,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.csv),$2.00
