ID,Item description,Category-Type,QTY,Price,Total,Status,Revenue,Date Sold,Date Sold Summary,Summary Total
YSI-1,Lights-LED-Stage-Tall,Lighting Equipment,1.0,$15.00,$15.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-2,Aux Cable Black,Electronics: Cables and Chargers,2.0,$1.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-3,USB to USB-C - Black,Electronics: Cables and Chargers,3.0,$1.00,$3.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-4,Aux Cable Gray - HD,Electronics: Cables and Chargers,1.0,$3.00,$3.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-5,Data Cable Scan Print Black,Electronics: Cables and Chargers,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-6,USB to USB-C - White - Short,Electronics: Cables and Chargers,1.0,$1.00,$1.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-7,Wrist Watch - Old Wrangler,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-8,Wrist Watch - Casio G Shock Womens Pink,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-9,Wrist Watch - Casio G Shock Womens Blue,Accessories: Watches,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-10,T-Shirt - Graphic - “Kiss Destroyer”,Clothing: Men's Clothes,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-11,Decorative Canvas Painting 5*7 “Family Rules”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-12,Decorative Canvas Painting 5*7 “Imagine Create Dream”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-13,Decorative Canvas Painting 5*7 “Best Friends”,Accessories: Home Accessories,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-14,Docking Station USB 3.0 Original Price $180.00,Electronics: Cables and Chargers,1.0,$65.00,$65.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-15,Smart Home Amazon Thermostat No Pump,Electronics: Smart Home Devices,1.0,$20.00,$20.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-16,Glassware: Nightmare before Christmas jack Skellington collectors shot glasses. ,Kitchenware: Glassware,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-17,T-Shirt - Graphic - “Sorry…Selective Hearing”,Clothing: Men's Clothes,1.0,$2.00,$2.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-18,Handbag Brown,Accessories: Bags,1.0,$10.00,$10.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-19,Eye Glasses - Blue,Accessories: Glasses,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-20,Wallet - Womens Guess Black,Accessories: Bags,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-21,Eye Glasses - Black,Accessories: Glasses,1.0,$5.00,$5.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
YSI-22,Knee Shin Guards,Accessories: Sports Gear,2.0,$10.00,$20.00,On Sale,,,,Overall Progress (Overall%20Progress%20843e8c8a75434f88b639958012e11acb.md)
