Title,Agency,Applied at,Company,Company Background,Description,Location,Page Link,Place,Rate,Salary,Status,TopEndSalary,URL,Unit,relat
Intuit ProAdvisor,IntuitJobs,"October 30, 2025 6:25 PM (EDT)",Intuit,"As a job applicant for the Intuit ProAdvisor position, consider the following insights about Intuit:

1. Company Overview: Intuit is a financial software company known for products like TurboTax, QuickBooks, and Mint. It focuses on providing solutions for personal and small business finance.

2. Company Culture: Intuit promotes a culture of innovation, inclusivity, and customer-centricity. They value employee feedback and strive for a collaborative work environment.

3. Remote Work: Intuit has embraced remote work, allowing employees flexibility while maintaining productivity. Be prepared to discuss your experience with remote collaboration tools.

4. Diversity and Inclusion: Intuit is committed to diversity and inclusion, actively working to create an equitable workplace. Understanding their initiatives could be beneficial during the interview.

5. Career Development: Intuit offers opportunities for growth through various training programs and resources. Expressing interest in professional development can be a positive point in your application.

6. Current Trends: The company is focusing on AI and machine learning to enhance its products, which may be relevant to the role of ProAdvisor in providing tech-savvy financial advice.

Researching these aspects can help you prepare for potential interview questions and demonstrate your alignment with Intuit's values and goals.",,REMOTE,,Remote,,$0,Awaiting Response,,,Hourly,
Talent Acquisition and HR Specialist,WizeHire,"October 17, 2025 4:23 AM (EDT)",Solano Law Firm,,,REMOTE,,Remote,,$,Awaiting Response,,,,
Inside Sales Representative position,WizeHire,"October 17, 2025 4:22 AM (EDT)",Offer Now Idaho,,,REMOTE,,Remote,,$,Awaiting Response,,,,
" IT Support Specialist Level 1 position",WizeHire,"October 17, 2025 4:21 AM (EDT)",Atlantic Technology Services,,,REMOTE,,Remote,,$,Awaiting Response,,,,
EnterTitle,WizeHire,"October 17, 2025 4:21 AM (EDT)",VirtuLearn for the Inside Sales Representative,,,REMOTE,,Remote,,$,Awaiting Response,,,,
Sales Representative position.,WizeHire,"October 17, 2025 4:20 AM (EDT)",Growth Minded Talent Solutions,,,REMOTE,,Remote,,$,Awaiting Response,,,,
CW Solutions for the Territory Sales Representative position,WizeHire,"October 17, 2025 4:16 AM (EDT)",WizeHire,,,REMOTE,,Remote,,$,Awaiting Response,,,,
Intuit,,"October 17, 2025 4:06 AM (EDT)",,,,REMOTE,,Remote,$22.00,$44000,Awaiting Response,,,Hourly,
HRIS Manager - Talent (REMOTE),,"October 17, 2025",Dicks Sporting Goods,"DICK'S Sporting Goods is a leading retail company focused on sporting goods, outdoor gear, and apparel. Here are some insights that would be beneficial for a job applicant:

1. Company Mission: DICK'S believes in the positive impact of sports on lives and promotes a culture of confidence and excitement within the sporting community. Familiarizing yourself with their mission can help you align your personal values with the company’s.

2. Commitment to Diversity and Inclusion: The company emphasizes creating an inclusive and diverse workforce. Highlight any relevant experiences or perspectives you bring that align with this commitment during the interview.

3. HRIS Team Dynamics: The HRIS team is described as being on a journey of growth and transformation, valuing collaboration and innovation. Showing enthusiasm for continuous improvement and a willingness to foster a collaborative environment will resonate well.

4. Workday Experience: The position specifically requires extensive experience with the Workday system. Be prepared to discuss your previous roles and accomplishments related to Workday, particularly in Talent Acquisition, Talent Management, and Learning.

5. Project Management Skills: The role involves managing multiple projects and driving process improvements. Be ready to provide examples of how you've successfully managed projects in the past and how you approach problem-solving.

6. Data Integrity and Compliance: Understanding the importance of data integrity and compliance with regulations will be crucial. Prepare to discuss your experience in ensuring data security and compliance in previous roles.

7. Interview Process: The company has specific guidelines for the interview process, including the prohibition of AI tools. Be aware that all virtual interviews require cameras to be on, which emphasizes the importance of personal interaction during the hiring process.

8. Competitive Compensation: The salary range for the position is between $83,000 and $138,200, along with a competitive total rewards package, including benefits. Understanding this range can help you negotiate effectively if you receive an offer.

Overall, demonstrating your alignment with DICK'S values, your technical expertise, and your project management capabilities will be key to making a positive impression.","locationsRemote - UStime typeFull timeposted onPosted 30+ Days Agojob requisition id202502415
At DICK’S Sporting Goods, we believe in how positively sports can change lives. On our team, everyone plays a critical role in creating confidence and excitement by personally equipping all athletes to achieve their dreams.  We are committed to creating an inclusive and diverse workforce, reflecting the communities we serve.
If you are ready to make a difference as part of the world’s greatest sports team, apply to join our team today!

OVERVIEW:

About the HRIS Team: The HRIS team is on an exciting journey of growth and transformation. We are dedicated to fostering a collaborative and innovative environment where learning is encouraged, and creativity is valued. Our mission is to continuously improve our systems and processes, enabling our teammates to bring their best selves to work. As we scale and refine our operations, we seek an HRIS Manager who shares our enthusiasm for developing solutions and enhancing HR processes in partnership with our business stakeholders.

Your Role: We are seeking an HRIS Manager to oversee and guide our Workday system across three key areas: Talent Acquisition, Talent Management, and Learning. In this strategic leadership role, you will be responsible for leading and developing a talented team, ensuring the successful delivery of HRIS solutions, and aligning technical capabilities with business needs. You’ll be a key partner in defining and executing the overall HRIS strategy, ensuring operational excellence, and driving team performance.

Key Responsibilities:
• Team Leadership and Development: Lead and mentor a team of HRIS Analysts, providing guidance, support, and professional development opportunities. Foster a high-performing, collaborative environment, ensuring team alignment with broader HRIS and organizational goals.
• Strategic Oversight: Oversee the configuration, maintenance, and optimization of Workday HCM across Talent Acquisition, Talent Management, and Learning modules, ensuring alignment with the business's evolving needs. Be the key decision-maker in the direction of these areas within the system.
• Cross-Functional Collaboration: Act as the bridge between business units (HR, IT, and other departments) to ensure HRIS solutions align with organizational priorities. Guide the team in translating functional requirements into scalable, technical solutions.
• Project Management and Prioritization: Lead the HRIS team in managing multiple projects, including system upgrades, new module implementations, and ongoing enhancements. Ensure projects are delivered on time, meet business needs, and maintain high standards of quality.
• Process Improvement and Innovation: Drive continuous improvement in HRIS processes and procedures, ensuring efficient and reliable delivery of features to a large workforce. Foster a culture of innovation within the team, encouraging out-of-the-box thinking to solve complex challenges.
• Data Integrity and Reporting: Ensure data integrity across all HRIS processes, implementing regular audits and troubleshooting issues. Ensure the HRIS system is delivering reliable, actionable insights to business partners.
• Compliance and Security: Ensure HRIS processes comply with relevant regulations and data protection laws, maintaining system security and data privacy.

QUALIFICATIONS:


• Bachelor's Degree
• 5-7 years of HR systems experience supporting HR and Total Rewards
• 5+ years of Workday experience
• 2+ years of experience managing a team of HRIS professionals

At DICK’S, we thrive on innovation and authenticity. That said, to protect the integrity and security of our hiring process, we ask that candidates do not use AI tools (like ChatGPT or others) during interviews or assessments. 
To ensure a smooth and secure experience, please note the following:
• Cameras must be on during all virtual interviews.
• AI tools are not permitted to be used by the candidate during any part of the interview process.
• Offers are contingent upon a satisfactory background check which may include ID verification.
 
If you have any questions or need accommodations, we’re here to help. Thanks for helping us keep the process fair and secure for everyone!

#LI-HC1


Targeted Pay Range: $83,000.00 - $138,200.00. This is part of a competitive total rewards package that could include other components such as: incentive, equity and benefits. Individual pay is determined by a number of factors including experience, location, internal pay equity, and other relevant business considerations. We review all teammate pay regularly to ensure competitive and equitable pay.DICK'S Sporting Goods complies with all state paid leave requirements. We also offer a generous suite of benefits.  To learn more, visit www.benefityourliferesources.com.",REMOTE,https://dickssportinggoods.wd1.myworkdayjobs.com/DSG/login/ok?redirect=/en-US/DSG/job/Remote---US/HRIS-Manager---Talent--REMOTE-_202502415/apply/autofillWithResume?source=LinkedIn-JobBoard&_ccid=1760624776823lrt88uaan,Remote,"$83,000.00",$83000,Incomplete,"$138,200.00",https://dickssportinggoods.wd1.myworkdayjobs.com/en-US/DSG/job/Remote---US/HRIS-Manager---Talent--REMOTE-_202502415?source=LinkedIn-JobBoard,Yearly,
Appointment Setter,WizeHire,"October 17, 2025",REI Game Changers LLC,,,REMOTE,https://api.leadconnectorhq.com/widget/form/0ZDaGt5y5Xtv6oqdgsDc,Remote,,$,Awaiting Response,,https://assessment.predictiveindex.com/799K/8dd481af-72ab-4119-9d7b-274d02203954?type=candidateba#page0,,
