Name,Status,Tags,Language,Code,Created Date,IT Integrations Junction Table Database
"
│   └── http://sheetcleaner.py/    # Your backend ETL engine",Not started,,,,,
"
│   └── ErrorList.js",Not started,,,,,
"
│   ├── ProcessingStatus.js",Not started,,,,,
"
│   ├── Header.js",Not started,,,,,
"
│   ├── FileList.js",Not started,,,,,
"
│   ├── FileDropzone.js",Not started,,,,,
"
│   ├── app.js",Not started,,,,,
"
│   └── main.css",Not started,,,,,
"
│   ├── dropzone.css",Not started,,,,,
"
│   ├── index.html",Not started,,,,,
HTML,Not started,HTML,,,,
HTML_Email Signature,Not started,HTML,,,,
SalesIQ Chat Icon,Not started,,,,,
Book With Cody,Not started,,HTML,https://qippeople.zohobookings.com/#/codyricevelasquez,,
Book With Cody Widget,Not started,"HTML, IFRAME, Widget",HTML,<iframe width='100%' height='750px' src='https://qippeople.zohobookings.com/portal-embed#/codyricevelasquez' frameborder='0' allowfullscreen='' > </iframe>,,
checkin,Not started,,,,,
