Directory Name,Type,type,Parent Folder,Parent item,Sub-item,Date Modified,Description,Path,Tags
_includes/,Folder,,kb,kb/ (kb%20283f84a044028074a8b7e423be8ece77.md),,,,,
.env,File,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),,,,,
.gitattributes,File,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),,,,,
.gitignore,File,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),,,,,
<year>/,File,,,binders/ (binders%20285f84a04402802ea944d3e8f9965659.md),,,,,
anon.sql,,,,supabase/ (supabase%20283f84a0440280ea9026cdc45411b2c2.md),,,,,
app.config.ts,File,,,portal/ (portal%20284f84a04402808e8802de585de24c4c.md),,,,,
apps/,Folder,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),"portal/ (portal%20284f84a04402808e8802de585de24c4c.md),,,,
assets/,Folder,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),"docs/ (docs%20285f84a04402804c8e3dea04d424e791.md),,,,
binder-<name>/,Folder,,,miniapps/ (miniapps%20285f84a0440280129198c12d1519f7df.md),"src/ (src%20285f84a0440280528cb8ff7530ea1e54.md),,,,
(README%20md%20285f84a0440280dea509e7a07520791e.md)",,,,,,,,,
binder.pdf,File,,,binders/ (binders%20285f84a04402802ea944d3e8f9965659.md),,,,,
binders/,,,,sites/ (sites%20283f84a044028035afb4e8a9c89043da.md),"<year>/ (year%20285f84a044028018ad89f7395a74783e.md),,,,
bootstrap/,,,,supabase/ (supabase%20283f84a0440280ea9026cdc45411b2c2.md),,,,,
build_xref.py,,,,scripts/ (scripts%20285f84a044028043873af2f5dab51dce.md),,,,,
cache/,,,,rag/ (rag%20285f84a04402804ca3eacc4937707a30.md),,,,,
ci/,Folder,,,infra/ (infra%20283f84a04402801093ded55001ba2198.md),ingest-on-commit.yml (ingest-on-commit%20yml%20285f84a0440280c8b6e7cbb8d2ff6ccd.md),,,,
client-workspace/,,,,,"meta/ (meta%20283f84a044028035ad2ef9a74d945f3a.md),,,,
(manifest%20yaml%20285f84a0440280e9b470f485599e1302.md),README.md (README%20md%20283f84a0440280e69025db399c951651.md),sites/ (sites%20283f84a044028035afb4e8a9c89043da.md),system/ (system%20283f84a04402803dbea6ef4210548204.md),tree-maker/ (tree-maker%20283f84a044028018ad2fc284eab97d4a.md)",,,,,
client.json,,,,schemas/ (schemas%20285f84a0440280c19fddd756dc5c2e5a.md),,,,,
client.json,File,json,,meta/ (meta%20283f84a044028035ad2ef9a74d945f3a.md),,,,,
client.schema.json,File,json,,meta/ (meta%20283f84a044028035ad2ef9a74d945f3a.md),,,,,
cloudflare/,,,,infra/ (infra%20283f84a04402801093ded55001ba2198.md),"pages.toml (pages%20toml%20285f84a0440280578eecde6cc9d91575.md),,,,
cloudflare/,Folder,,integrations,integrations/ (integrations%20283f84a044028074a482cfc2d3a8890b.md),,,,,
config.yaml,File,,supabase,supabase/ (supabase%20283f84a0440280ea9026cdc45411b2c2.md),,,,,
config.yaml http://ingest.py/ http://ask.py/ requirements.txt http://readme.md/,,,,db/ (db%20285f84a0440280c7bd69dbff0753ec2e.md),,,,,
CONVENTIONS.md,File,,system,system/ (system%20283f84a04402803dbea6ef4210548204.md),,,,,
csv/,,,,data/ (data%20283f84a0440280349c54d7dfef08af5b.md),,,,,
current.csv,,,,trees/ (trees%20285f84a04402803388fed6ba4076039b.md),,,,,
cursor/,Folder,,integrations,integrations/ (integrations%20283f84a044028074a482cfc2d3a8890b.md),,,,,
data/,Folder,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),"csv/ (csv%20285f84a04402804fbdeac21f9c62a704.md),,,,
db/,,,,rag/ (rag%20285f84a04402804ca3eacc4937707a30.md),config.yaml ingest.py ask.py requirements.txt README.md (config%20yaml%20ingest%20py%20ask%20py%20requirements%20txt%20READ%20285f84a044028061b82bc20a7ce6f679.md),,,,
db/,Folder,,Root,client-workspace/ (client-workspace%20285f84a044028059a3e1e64ef4646972.md),vault.duckdb (vault%20duckdb%20285f84a04402809080f1fa7a51404053.md),,,,
