Database Sections,Tags,Parent item,Sub-item
2.2 Entity B,,,
2.3 Entity C,,,
5.2 Personal Legal,,,
6.2 Personal Projects,,,
7.2 Guides,,,
7.3 Research Materials,,,
7.4 Tools,,,
7.5 Databases and Lists,,,
7.6 Archive,,,
1.0 Inbox,,,
1.1 To Process,,,
1.2 To Read,,,
1.3 To File,,,
2.0 Business,,,
2.1 Entity A,,,
3.0 Personal,,,
3.1 Diaries & Private Notes,,,
3.2 Friends & Family (Contacts),,,
3.3 Medical & Health,,,
3.4 Archive,,,
4.0 Financial,,,
4.1 Personal Financial,,,
4.2 Business Financial,,,
5.0 Legal,,,
5.1 Business Legal,,,
6.0 Projects & Ideas,,,
6.1 Business Projects,,,
7.0 Resources and References,,,
7.1 Templates,,,
1.0 Inbox,1.2 To Read (1%202%20To%20Read%2013bf84a0440280729a8ed691d5f66642.md),,"1.3 To File (1%203%20To%20File%2013bf84a044028048baffe09be46d7d32.md)
1.1 To Process,,1.0 Inbox (1%200%20Inbox%2013bf84a04402807282a9f3045ac90eed.md),
1.3 To File,,1.0 Inbox (1%200%20Inbox%2013bf84a04402807282a9f3045ac90eed.md),
1.2 To Read,,1.0 Inbox (1%200%20Inbox%2013bf84a04402807282a9f3045ac90eed.md),
2.0 Business,2.3 Entity C (2%203%20Entity%20C%2013bf84a0440280ad9bc4d20c5ec5baf7.md),,"2.1 Entity A (2%201%20Entity%20A%2013bf84a0440280b98c71f302a54628f2.md)
2.1 Entity A,,2.0 Business (2%200%20Business%2013bf84a04402806a9665e2c6be0e9b23.md),
2.2 Entity B,,2.0 Business (2%200%20Business%2013bf84a04402806a9665e2c6be0e9b23.md),
2.3 Entity C,,2.0 Business (2%200%20Business%2013bf84a04402806a9665e2c6be0e9b23.md),
3.1 Diaries & Private Notes,,3.0 Personal (3%200%20Personal%2013bf84a0440280c58f17d2aaffc0adbc.md),
3.0 Personal,3.3 Medical & Health (3%203%20Medical%20&%20Health%2013bf84a0440280f4a3b7e6da094072a9.md),,"3.4 Archive (3%204%20Archive%2013bf84a044028052a98fedeabe956da0.md)
3.2 Friends & Family (Contacts),,3.0 Personal (3%200%20Personal%2013bf84a0440280c58f17d2aaffc0adbc.md),
3.3 Medical & Health,,3.0 Personal (3%200%20Personal%2013bf84a0440280c58f17d2aaffc0adbc.md),
3.4 Archive,,3.0 Personal (3%200%20Personal%2013bf84a0440280c58f17d2aaffc0adbc.md),
4.0 Financial,4.1 Personal Financial (4%201%20Personal%20Financial%2013bf84a0440280a896a6dd617bcb5f9e.md)",,"4.2 Business Financial (4%202%20Business%20Financial%2013bf84a0440280228504c0a473f7a0a8.md)
4.1 Personal Financial,,4.0 Financial (4%200%20Financial%2013bf84a0440280709928c89a28295e1a.md),
4.2 Business Financial,,4.0 Financial (4%200%20Financial%2013bf84a0440280709928c89a28295e1a.md),
5.0 Legal,5.2 Personal Legal (5%202%20Personal%20Legal%2013bf84a044028097970afd78968ad6c4.md)",,"5.1 Business Legal (5%201%20Business%20Legal%2013bf84a04402808dbd6afae370b4e4ca.md)
5.1 Business Legal,,5.0 Legal (5%200%20Legal%2013bf84a04402803a8c42f1d971019fa4.md),
5.2 Personal Legal,,5.0 Legal (5%200%20Legal%2013bf84a04402803a8c42f1d971019fa4.md),
6.1 Business Projects,,6.0 Projects & Ideas (6%200%20Projects%20&%20Ideas%2013bf84a0440280e5b239c79627291833.md),
6.0 Projects & Ideas,6.2 Personal Projects (6%202%20Personal%20Projects%2013bf84a0440280268e90c5f90dac1366.md)",,"6.1 Business Projects (6%201%20Business%20Projects%2013bf84a0440280cea821f04884b5b8ed.md)
6.2 Personal Projects,,6.0 Projects & Ideas (6%200%20Projects%20&%20Ideas%2013bf84a0440280e5b239c79627291833.md),
7.1 Templates,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
7.0 Resources and References,7.2 Guides (7%202%20Guides%2013bf84a04402807ea041dc5362e6378a.md),,"7.1 Templates (7%201%20Templates%2013bf84a04402805ebc71d537d328db47.md)
7.2 Guides,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
7.4 Tools,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
7.3 Research Materials,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
7.6 Archive,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
7.5 Databases and Lists,,7.0 Resources and References (7%200%20Resources%20and%20References%2013bf84a0440280a198b6cfabc23682ab.md),
